City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Ahmedabad,01-01-2015,73.24,,0.92,18.22,17.15,,0.92,27.64,133.36,142,Moderate
Ahmedabad,01-02-2015,73.24,,0.97,15.69,16.46,,0.97,24.55,34.06,142,Moderate
Ahmedabad,01-03-2015,73.24,,17.4,19.3,29.7,,17.4,29.07,30.7,142,Moderate
Ahmedabad,01-04-2015,73.24,,1.7,18.48,17.97,,1.7,18.59,36.08,142,Moderate
Ahmedabad,01-05-2015,73.24,,22.1,21.42,37.76,,22.1,39.33,39.31,142,Moderate
Ahmedabad,01-06-2015,73.24,,45.41,38.48,81.5,,45.41,45.76,46.51,142,Moderate
Ahmedabad,01-07-2015,73.24,,112.16,40.62,130.77,,112.16,32.28,33.47,142,Moderate
Ahmedabad,01-08-2015,73.24,,80.87,36.74,96.75,,80.87,38.54,31.89,142,Moderate
Ahmedabad,01-09-2015,73.24,,29.16,31,48,,29.16,58.68,25.75,142,Moderate
Ahmedabad,01-10-2015,73.24,,80.615,7.04,36.265,,80.615,8.29,4.55,142,Moderate
Ahmedabad,01-11-2015,73.24,,132.07,55.8,24.53,,132.07,25.03,6.79,142,Moderate
Ahmedabad,01-12-2015,73.24,,52.04,40.67,90.24,,52.04,51.84,45.89,142,Moderate
Ahmedabad,1/13/2015,73.24,,48.82,44.2,87.09,,48.82,68.21,35.16,142,Moderate
Ahmedabad,1/14/2015,73.24,,19.2,27.86,33.05,,19.2,52.65,20.96,142,Moderate
Ahmedabad,1/15/2015,73.24,,0.6,16.96,16.6,,0.6,28.89,47.63,142,Moderate
Ahmedabad,1/16/2015,73.24,,1.63,21.72,22.86,,1.63,38.27,46.03,142,Moderate
Ahmedabad,1/17/2015,73.24,,11.44,24.73,34.75,,11.44,49.5,52.24,142,Moderate
Ahmedabad,1/18/2015,73.24,,6.1,25.77,29.57,,6.1,48.43,53.49,142,Moderate
Ahmedabad,1/19/2015,73.24,,2.51,26.88,27.45,,2.51,50.03,49.48,142,Moderate
Ahmedabad,1/20/2015,73.24,,7.92,26.8,32.4,,7.92,58.87,56.37,142,Moderate
Ahmedabad,1/21/2015,73.24,,9.52,33.56,39.28,,9.52,106.93,48.75,142,Moderate
Ahmedabad,1/22/2015,73.24,,9.05,17.51,22.33,,9.05,23.71,42.22,142,Moderate
Ahmedabad,1/23/2015,73.24,,22.53,27.96,47.79,,22.53,39.19,32.92,142,Moderate
Ahmedabad,1/24/2015,73.24,,2.03,20.39,21.4,,2.03,40.07,32.49,142,Moderate
Ahmedabad,1/25/2015,73.24,,1.42,20.43,20.19,,1.42,58.41,39.26,142,Moderate
Ahmedabad,1/26/2015,73.24,,2.27,21.16,21.81,,2.27,43.73,39.83,142,Moderate
Ahmedabad,1/27/2015,73.24,,2.19,21.7,23.26,,2.19,43.28,41.1,142,Moderate
Ahmedabad,1/28/2015,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,142,Moderate
Ahmedabad,1/29/2015,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,209,Poor
Ahmedabad,1/30/2015,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,328,Very Poor
Ahmedabad,1/31/2015,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,514,Severe
Ahmedabad,02-01-2015,135.99,,43.48,42.08,84.57,,43.48,75.23,102.7,782,Severe
Ahmedabad,02-02-2015,178.33,,54.56,35.31,72.8,,54.56,55.04,107.38,914,Severe
Ahmedabad,02-03-2015,139.7,,30.61,28.4,56.73,,30.61,33.79,73.6,660,Severe
Ahmedabad,02-04-2015,80.65,,2.37,22.83,24,,2.37,25.73,47.3,294,Poor
Ahmedabad,02-05-2015,58.36,,2.6,21.39,23.31,,2.6,32.66,53.54,149,Moderate
Ahmedabad,02-06-2015,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,190,Moderate
Ahmedabad,02-07-2015,88.7,,7.29,31.32,37.73,,7.29,80.09,44.76,247,Poor
Ahmedabad,02-08-2015,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,379,Very Poor
Ahmedabad,02-09-2015,113.93,,4.32,24.27,26.86,,4.32,48.73,39.94,341,Very Poor
Ahmedabad,02-10-2015,105.39,,1.41,18.21,18.75,,1.41,35.91,56.15,256,Poor
Ahmedabad,02-11-2015,66.52,,6.34,23.8,28.24,,6.34,66.58,53.14,388,Very Poor
Ahmedabad,02-12-2015,65.04,,14.19,30.1,44.21,,14.19,65.91,31.88,288,Poor
Ahmedabad,2/13/2015,103.36,,18.18,39.56,57.33,,18.18,80.43,40.11,510,Severe
Ahmedabad,2/14/2015,177.33,,37.49,47.58,77.85,,37.49,99.72,36.47,761,Severe
Ahmedabad,2/15/2015,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,475,Severe
Ahmedabad,2/16/2015,99.7,,19.85,28.1,47.31,,19.85,73.23,30.57,536,Severe
Ahmedabad,2/17/2015,80.61,,15.96,21.04,35.67,,15.96,54.7,36.2,479,Severe
Ahmedabad,2/18/2015,100.79,,16.24,25.93,41.91,,16.24,43.11,37.43,592,Severe
Ahmedabad,2/19/2015,107.99,,11.25,30.09,40.47,,11.25,84.86,31.94,427,Severe
Ahmedabad,2/20/2015,140.29,,33.84,36.14,68.85,,33.84,101.53,40.98,588,Severe
Ahmedabad,2/21/2015,239.96,,61.95,46.25,106.92,,61.95,84.87,33.55,1141,Severe
Ahmedabad,2/22/2015,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,669,Severe
Ahmedabad,2/23/2015,238.41,,77.7,55.07,131.32,,77.7,89.07,37.3,1247,Severe
Ahmedabad,2/24/2015,118.72,,12.56,32.01,42.56,,12.56,61.54,38.8,411,Severe
Ahmedabad,2/25/2015,52.99,,2.23,10.45,10.39,,2.23,32.76,67.25,292,Poor
Ahmedabad,2/26/2015,55.0225,,2.5675,12.04,13.0225,,2.5675,31.68,58.0575,142,Moderate
Ahmedabad,2/27/2015,57.055,,2.905,13.63,15.655,,2.905,30.6,48.865,142,Moderate
