City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Amritsar,2017-02-27,13.42,14.92,15.06,8.86,23.64,1.6,0.81,11.0,12.96,24.0,Good
Amritsar,2017-02-28,12.45,13.8,17.44,8.05,23.64,1.73,0.67,16.06,11.88,52.0,Satisfactory
Amritsar,2017-03-01,19.52,21.88,14.77,6.02,23.64,1.48,0.43,26.24,11.53,31.0,Good
Amritsar,2017-03-02,77.71,80.27,10.49,3.88,23.64,1.29,0.36,22.35,18.68,106.0,Moderate
Amritsar,2017-03-03,19.7,33.08,9.91,3.13,23.64,1.15,0.37,14.29,22.22,98.0,Satisfactory
Amritsar,2017-03-04,22.91,56.19,10.69,4.13,23.64,1.86,0.47,8.42,26.62,61.0,Satisfactory
Amritsar,2017-03-05,29.56,44.5,8.95,2.66,23.64,1.26,0.39,10.95,27.03,62.0,Satisfactory
Amritsar,2017-03-06,46.13,62.88,9.62,4.89,23.64,1.99,0.54,30.27,26.3,78.0,Satisfactory
Amritsar,2017-03-07,44.3,52.12,9.4,5.32,23.64,2.4,0.36,28.74,20.63,72.0,Satisfactory
Amritsar,2017-03-08,41.23,52.75,11.18,7.88,23.64,2.51,0.39,21.4,22.44,71.0,Satisfactory
Amritsar,2017-03-09,29.88,33.2,10.64,11.66,23.64,2.31,0.36,4.26,21.11,59.0,Satisfactory
Amritsar,2017-03-10,37.93,43.69,12.84,15.11,23.64,2.05,0.2,6.38,25.06,73.0,Satisfactory
Amritsar,2017-03-11,32.46,50.76,10.93,19.67,23.64,6.82,0.20215686274509806,4.71,18.79,56.0,Satisfactory
Amritsar,2017-03-12,25.65,54.59,12.14,26.15,23.64,11.73,0.20431372549019608,8.32,15.64,55.0,Satisfactory
Amritsar,2017-03-13,41.36,77.43,11.4,25.88,23.64,11.71,0.20647058823529413,4.75,20.27,69.0,Satisfactory
Amritsar,2017-03-14,51.88,86.64,9.24,25.21,23.64,11.76,0.20862745098039218,7.72,30.34,80.0,Satisfactory
Amritsar,2017-03-15,51.59,86.11,10.03,26.05,23.64,12.33,0.2107843137254902,9.06,24.63,89.0,Satisfactory
Amritsar,2017-03-16,45.46,82.73,13.23,26.38,23.64,12.56,0.21294117647058824,2.94,19.36,79.0,Satisfactory
Amritsar,2017-03-17,152.17,93.68,13.86,27.06,23.64,12.45,0.2150980392156863,3.17,21.78,262.0,Poor
Amritsar,2017-03-18,72.87,98.47,10.71,26.07,23.64,12.03,0.21725490196078434,3.56,12.86,184.0,Moderate
Amritsar,2017-03-19,73.26,97.64,10.47,25.73,23.64,11.99,0.21941176470588236,1.85,11.77,138.0,Moderate
Amritsar,2017-03-20,65.26,95.91,9.38,25.23,23.64,12.4,0.2215686274509804,1.31,19.98,138.0,Moderate
Amritsar,2017-03-21,56.39,92.68,10.42,26.26,23.64,12.67,0.22372549019607846,2.97,19.83,100.0,Satisfactory
Amritsar,2017-03-22,55.43,88.17,13.56,28.39,23.64,13.0,0.22588235294117648,1.91,13.71,89.0,Satisfactory
Amritsar,2017-03-23,40.95,77.09,11.86,26.26,23.64,12.72,0.22803921568627453,1.03,21.21,84.0,Satisfactory
Amritsar,2017-03-24,40.99,67.5,9.68,24.95,23.64,12.41,0.23019607843137257,0.86,20.82,72.0,Satisfactory
Amritsar,2017-03-25,57.49,80.09,8.06,23.95,23.64,11.87,0.2323529411764706,2.29,24.66,90.0,Satisfactory
Amritsar,2017-03-26,45.98,72.74,8.94,23.68,23.64,12.35,0.23450980392156864,7.96,24.14,84.0,Satisfactory
Amritsar,2017-03-27,47.2,78.45,12.41,27.32,23.64,12.16,0.2366666666666667,3.29,31.95,74.0,Satisfactory
Amritsar,2017-03-28,58.95,83.09,10.69,30.37,23.64,12.03,0.2388235294117647,4.97,33.22,96.0,Satisfactory
Amritsar,2017-03-29,39.4,66.81,12.1,30.1,23.64,12.31,0.24098039215686276,2.04,33.88,76.0,Satisfactory
Amritsar,2017-03-30,39.47,71.86,11.17,30.88,23.64,12.66,0.2431372549019608,3.9,28.11,71.0,Satisfactory
Amritsar,2017-03-31,52.77,72.49,11.76,31.49,23.64,13.3,0.24529411764705883,2.11,26.72,91.0,Satisfactory
Amritsar,2017-04-01,16.38,25.27,13.47,31.72,23.64,12.84,0.24745098039215688,3.28,23.22,45.0,Good
Amritsar,2017-04-02,20.11,34.76,12.78,30.57,23.64,12.37,0.24960784313725493,4.88,25.45,30.0,Good
Amritsar,2017-04-03,42.05,88.9,3.55,23.44,23.64,10.01,0.25176470588235295,2.61,21.0,72.0,Satisfactory
Amritsar,2017-04-04,40.64,63.97,8.88,27.46,23.64,16.51,0.253921568627451,2.64,16.77,76.0,Satisfactory
Amritsar,2017-04-05,31.96,59.43,12.81,30.01,23.64,19.88,0.25607843137254904,2.96,18.72,60.0,Satisfactory
Amritsar,2017-04-06,32.373333333333335,56.196666666666665,14.1,33.47,23.64,23.116666666666667,0.25823529411764706,3.4099999999999997,20.08,59.0,Satisfactory
Amritsar,2017-04-07,32.78666666666667,52.96333333333333,15.39,36.93,23.64,26.35333333333333,0.26039215686274514,3.86,21.44,53.0,Satisfactory
Amritsar,2017-04-08,33.2,49.73,16.68,40.39,23.64,29.59,0.26254901960784316,4.31,22.8,50.0,Good
Amritsar,2017-04-09,24.29,39.48,20.48,37.9,23.64,30.36,0.2647058823529412,5.14,18.12,44.0,Good
Amritsar,2017-04-10,30.05,55.59,14.87,19.08,23.64,29.24,0.26686274509803926,3.23,27.2,57.0,Satisfactory
Amritsar,2017-04-11,41.4,62.53,13.62,21.1,23.64,29.47,0.2690196078431373,5.88,22.06,66.0,Satisfactory
Amritsar,2017-04-12,33.11,58.18,12.64,19.74,23.64,28.98,0.2711764705882353,1.1,15.98,63.0,Satisfactory
Amritsar,2017-04-13,50.72,70.44,12.78,23.29,23.64,29.37,0.2733333333333334,7.12,24.73,85.0,Satisfactory
Amritsar,2017-04-14,25.84,28.59,12.4,21.97,23.64,29.11,0.2754901960784314,2.6,28.36,61.0,Satisfactory
Amritsar,2017-04-15,24.3,27.21,12.55,21.26,23.64,29.06,0.27764705882352947,3.13,31.65,49.0,Good
Amritsar,2017-04-16,33.02,45.93,11.88,20.9,23.64,28.81,0.2798039215686275,11.78,31.99,53.0,Satisfactory
Amritsar,2017-04-17,53.08,101.55,13.42,20.53,23.64,28.7,0.2819607843137255,7.66,24.0,82.0,Satisfactory
Amritsar,2017-04-18,82.91,116.95,14.58,20.7,23.64,28.86,0.2841176470588236,8.74,29.95,170.0,Moderate
Amritsar,2017-04-19,32.08,94.3,16.02,21.29,23.64,28.73,0.2862745098039216,12.41,25.46,109.0,Moderate
Amritsar,2017-04-20,27.6,39.29,15.53,22.4,23.64,28.94,0.2884313725490196,15.52,19.14,65.0,Satisfactory
Amritsar,2017-04-21,56.22,94.96,12.13,16.5,23.64,27.97,0.2905882352941177,7.77,24.91,95.0,Satisfactory
Amritsar,2017-04-22,45.473333333333336,97.61727272727272,13.85,16.65,23.64,28.216666666666665,0.2927450980392157,6.8,21.543333333333333,98.0,Satisfactory
Amritsar,2017-04-23,34.726666666666674,100.27454545454545,15.57,16.8,23.64,28.463333333333335,0.29490196078431374,5.83,18.176666666666666,100.0,Satisfactory
Amritsar,2017-04-24,23.98,102.93181818181817,17.29,16.95,23.64,28.71,0.2970588235294118,4.86,14.81,103.0,Moderate
Amritsar,2017-04-25,25.74,105.5890909090909,17.33,16.62,23.64,28.63,0.29921568627450984,5.49,14.42,42.0,Good
Amritsar,2017-04-26,28.28,108.24636363636364,15.97,17.11,23.64,28.5,0.30137254901960786,5.78,15.2,46.0,Good
Amritsar,2017-04-27,25.1,110.90363636363637,14.79,16.71,23.64,28.27,0.30352941176470594,7.31,13.77,43.0,Good
Amritsar,2017-04-28,25.99,113.56090909090909,14.47,17.07,23.64,28.26,0.30568627450980396,12.18,15.0,43.0,Good
Amritsar,2017-04-29,27.14,116.21818181818182,15.96,16.78,23.64,28.42,0.307843137254902,7.85,14.22,45.0,Good
Amritsar,2017-04-30,25.81,118.87545454545455,15.62,16.07,23.64,28.3,0.31000000000000005,5.27,13.02,43.0,Good
Amritsar,2017-05-01,23.96,121.53272727272727,15.77,16.56,23.64,28.38,0.3121568627450981,9.33,13.83,41.0,Good
Amritsar,2017-05-02,41.54,124.19,12.43,10.76,23.64,28.71,0.3143137254901961,9.99,31.76,97.0,Satisfactory
Amritsar,2017-05-03,52.43,105.5,14.68,16.31,23.64,30.36,0.31647058823529417,7.51,13.82,102.0,Moderate
Amritsar,2017-05-04,53.42,91.16,14.43,16.67,23.64,30.45,0.3186274509803922,11.67,14.19,100.0,Satisfactory
Amritsar,2017-05-05,194.39,100.51,13.94,16.7,23.64,30.32,0.3207843137254902,14.47,16.02,121.0,Moderate
Amritsar,2017-05-06,296.84,138.35,13.41,16.92,23.64,30.49,0.3229411764705883,15.32,15.81,117.0,Moderate
Amritsar,2017-05-07,105.49,125.37,14.23,16.7,23.64,30.52,0.3250980392156863,18.78,14.66,123.0,Moderate
Amritsar,2017-05-08,868.66,116.29,13.21,16.46,23.64,30.05,0.32725490196078433,27.92,15.99,110.0,Moderate
Amritsar,2017-05-09,850.73,156.75,14.23,16.57,23.64,30.0,0.3294117647058824,15.77,14.46,122.0,Moderate
Amritsar,2017-05-10,832.8,145.53,11.59,15.78,23.64,29.12,0.3315686274509804,5.84,25.25,833.0,Severe
Amritsar,2017-05-11,595.88,219.63,12.27,15.87,23.64,29.09,0.33372549019607844,4.57,15.85,539.0,Severe
Amritsar,2017-05-12,157.6,94.34,12.68,16.01,23.64,29.27,0.3358823529411765,10.25,16.36,473.0,Severe
Amritsar,2017-05-13,53.9,124.48,12.69,15.91,23.64,29.05,0.33803921568627454,7.37,15.59,138.0,Moderate
Amritsar,2017-05-14,40.51,121.36,12.86,16.19,23.64,28.95,0.34019607843137256,16.06,15.09,116.0,Moderate
Amritsar,2017-05-15,49.155,113.72,12.7,15.71,23.64,28.86,0.34235294117647064,15.43,15.33,114.0,Moderate
Amritsar,2017-05-16,57.8,86.43,12.52,15.04,23.64,28.33,0.34450980392156866,4.74,16.46,102.0,Moderate
Amritsar,2017-05-17,41.85,72.79,13.63,15.05,23.64,28.2,0.3466666666666667,5.38,15.39,80.0,Satisfactory
Amritsar,2017-05-18,54.1,96.51,11.38,14.9,23.64,27.91,0.34882352941176475,12.93,22.22,87.0,Satisfactory
Amritsar,2017-05-19,42.41,99.64,11.97,15.07,23.64,28.04,0.3509803921568628,7.06,16.05,93.0,Satisfactory
Amritsar,2017-05-20,45.32,387.65,12.25,15.1,23.64,28.0,0.3531372549019608,3.04,14.62,98.0,Satisfactory
Amritsar,2017-05-21,43.97,355.71999999999997,14.05,15.07,23.64,28.2,0.35529411764705887,14.11,12.34,89.0,Satisfactory
Amritsar,2017-05-22,36.59,323.78999999999996,13.41,15.23,23.64,28.17,0.3574509803921569,7.01,14.148888888888889,56.0,Satisfactory
Amritsar,2017-05-23,30.55,291.86,12.37,15.35,23.64,28.1,0.3596078431372549,10.46,15.957777777777778,56.0,Satisfactory
Amritsar,2017-05-24,192.7,259.93,11.8,15.19,23.64,28.02,0.361764705882353,6.59,17.766666666666666,79.0,Satisfactory
Amritsar,2017-05-25,37.67,228.0,11.47,15.34,23.64,28.08,0.363921568627451,12.69,19.575555555555557,270.0,Poor
Amritsar,2017-05-26,25.3,196.07,11.68,15.02,23.64,28.01,0.36607843137254903,9.15,21.384444444444444,48.0,Good
Amritsar,2017-05-27,20.42,164.14000000000001,11.57,14.94,23.64,27.94,0.3682352941176471,9.78,23.193333333333335,35.0,Good
Amritsar,2017-05-28,17.64,132.21,11.61,14.63,23.64,27.84,0.3703921568627451,6.27,25.002222222222223,34.0,Good
Amritsar,2017-05-29,19.68,100.28000000000003,11.98,14.75,23.64,27.86,0.37254901960784315,3.32,26.81111111111111,26.0,Good
Amritsar,2017-05-30,26.47,68.35,10.84,14.04,23.64,27.7,0.3747058823529412,4.25,28.62,44.0,Good
Amritsar,2017-05-31,29.12,63.49,11.7,14.09,23.64,27.7,0.37686274509803924,3.33,11.51,67.0,Satisfactory
Amritsar,2017-06-01,34.99,68.71,15.13,15.07,23.64,28.28,0.37901960784313726,6.14,4.84,62.0,Satisfactory
Amritsar,2017-06-02,47.59,98.57,11.58,15.25,23.64,27.89,0.38117647058823534,11.06,19.74,99.0,Satisfactory
Amritsar,2017-06-03,58.68,109.6,14.0,14.49,23.64,27.95,0.38333333333333336,15.24,22.7,107.0,Moderate
Amritsar,2017-06-04,48.49,120.47,21.53,14.2,23.64,27.85,0.3854901960784314,9.84,20.98,108.0,Moderate
Amritsar,2017-06-05,38.78,143.52,21.9,36.62,23.64,42.87,0.38764705882352946,12.61,11.54,125.0,Moderate
Amritsar,2017-06-06,89.01,240.82,21.16,13.43,23.64,27.61,0.3898039215686275,7.22,11.92,197.0,Moderate
Amritsar,2017-06-07,39.74,72.35,47.31,31.09,23.64,41.2,0.3919607843137255,6.7,10.97,143.0,Moderate
Amritsar,2017-06-08,38.25,76.8,22.61,14.02,23.64,27.67,0.3941176470588236,3.1,12.77,64.0,Satisfactory
Amritsar,2017-06-09,38.93,79.5,21.73,13.56,23.64,27.69,0.39627450980392165,5.56,10.26,85.0,Satisfactory
Amritsar,2017-06-10,44.76,91.2,21.79,13.59,23.64,27.71,0.3984313725490196,3.03,10.9,83.0,Satisfactory
Amritsar,2017-06-11,33.88,53.64,22.01,13.79,23.64,27.74,0.4005882352941177,5.84,5.17,70.0,Satisfactory
Amritsar,2017-06-12,41.62,73.06,22.31,13.84,23.64,27.81,0.40274509803921577,6.97,5.62,65.0,Satisfactory
Amritsar,2017-06-13,49.45,86.66,20.11,13.43,23.64,27.48,0.40490196078431373,6.14,22.07,87.0,Satisfactory
Amritsar,2017-06-14,36.81,77.01,20.94,13.47,23.64,27.6,0.4070588235294118,8.83,19.14,75.0,Satisfactory
Amritsar,2017-06-15,38.42,82.21,21.61,13.51,23.64,27.68,0.4092156862745099,6.29,9.51,88.0,Satisfactory
