City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Bengaluru,2015-01-01,30.65,70.46,3.26,17.33,10.88,20.36,0.33,3.54,10.73,70.0,Satisfactory
Bengaluru,2015-01-02,30.65,70.46,6.05,19.73,14.14,23.74,1.35,3.97,22.77,70.0,Satisfactory
Bengaluru,2015-01-03,30.65,70.46,11.91,19.88,20.72,4.32,17.4,13.61,12.03,70.0,Satisfactory
Bengaluru,2015-01-04,30.65,70.46,7.45,21.61,16.88,0.87,5.05,6.52,17.7,70.0,Satisfactory
Bengaluru,2015-01-05,30.65,70.46,9.52,22.17,21.76,31.38,1.83,4.71,12.72,70.0,Satisfactory
Bengaluru,2015-01-06,30.65,70.46,6.6,23.2,16.24,26.35,0.52,4.42,13.82,70.0,Satisfactory
Bengaluru,2015-01-07,30.65,70.46,22.6,28.66,30.84,22.73,1.46,5.13,16.98,70.0,Satisfactory
Bengaluru,2015-01-08,30.65,70.46,7.5,31.1,21.16,38.67,2.3,7.07,17.35,70.0,Satisfactory
Bengaluru,2015-01-09,30.65,70.46,6.75,25.98,15.03,23.48,0.54,12.84,16.27,70.0,Satisfactory
Bengaluru,2015-01-10,30.65,70.46,3.38,29.23,16.76,34.17,1.69,3.08,25.01,70.0,Satisfactory
Bengaluru,2015-01-11,30.65,70.46,3.97,29.84,17.49,29.74,2.59,8.2,16.07,70.0,Satisfactory
Bengaluru,2015-01-12,30.65,70.46,10.85,28.4,21.85,41.39,0.61,7.16,16.41,70.0,Satisfactory
Bengaluru,2015-01-13,30.65,70.46,10.65,30.56,22.9,35.34,0.63,6.51,10.34,70.0,Satisfactory
Bengaluru,2015-01-14,30.65,70.46,9.09,25.94,19.43,39.82,1.83,8.66,16.47,70.0,Satisfactory
Bengaluru,2015-01-15,30.65,70.46,6.79,20.64,15.92,21.43,3.29,6.24,19.35,70.0,Satisfactory
Bengaluru,2015-01-16,30.65,70.46,10.74,18.51,22.36,10.27,16.41,19.28,16.02,70.0,Satisfactory
Bengaluru,2015-01-17,30.65,70.46,8.17,17.37,21.64,11.05,15.98,24.91,14.33,70.0,Satisfactory
Bengaluru,2015-01-18,30.65,70.46,6.16,17.2,18.79,14.23,9.04,22.18,22.48,70.0,Satisfactory
Bengaluru,2015-01-19,30.65,70.46,7.83,16.74,19.44,13.47,8.09,27.99,23.34,70.0,Satisfactory
Bengaluru,2015-01-20,30.65,70.46,10.44,7.24,22.66,7.29,4.05,92.66,103.68,104.0,Moderate
Bengaluru,2015-01-21,30.65,70.46,7.02,5.45,18.26,5.07,18.3,82.07,72.815,82.0,Satisfactory
Bengaluru,2015-01-22,30.65,70.46,17.15,13.57,29.6,3.65,3.32,57.51,41.95,70.0,Satisfactory
Bengaluru,2015-01-23,30.65,70.46,3.8,12.82,12.0,10.06,5.04,27.33,17.78,70.0,Satisfactory
Bengaluru,2015-01-24,30.65,70.46,4.77,16.27,9.73,14.88,2.42,6.47,14.72,70.0,Satisfactory
Bengaluru,2015-01-25,30.65,70.46,3.19,16.32,8.72,15.42,3.39,3.32,16.27,70.0,Satisfactory
Bengaluru,2015-01-26,30.65,70.46,2.27,13.85,8.43,16.63,5.39,2.95,21.35,70.0,Satisfactory
Bengaluru,2015-01-27,30.65,70.46,10.92,16.71,15.67,18.57,1.71,3.09,27.37,70.0,Satisfactory
Bengaluru,2015-01-28,30.65,70.46,6.31,14.85,11.58,16.15,4.87,6.53,17.05,70.0,Satisfactory
Bengaluru,2015-01-29,30.65,70.46,86.9,10.45,49.95,16.4,2.26,3.03,18.78,87.0,Satisfactory
Bengaluru,2015-01-30,30.65,70.46,62.22,4.93,51.53,13.32,1.06,24.31,19.51,70.0,Satisfactory
Bengaluru,2015-01-31,30.65,70.46,36.24,11.11,30.07,7.77,0.46,29.18,23.21,70.0,Satisfactory
Bengaluru,2015-02-01,30.65,70.46,2.99,22.14,13.01,7.48,0.36,7.36,20.75,70.0,Satisfactory
Bengaluru,2015-02-02,30.65,70.46,5.83,19.19,13.06,11.33,0.46,6.14,19.75,70.0,Satisfactory
Bengaluru,2015-02-03,30.65,70.46,4.56,18.47,12.44,11.78,0.59,5.02,20.64,70.0,Satisfactory
Bengaluru,2015-02-04,30.65,70.46,5.92,22.46,15.19,11.88,1.08,4.46,18.62,70.0,Satisfactory
Bengaluru,2015-02-05,30.65,70.46,12.17,26.36,20.48,11.11,0.59,7.65,16.06,70.0,Satisfactory
Bengaluru,2015-02-06,30.65,70.46,5.04,25.98,16.42,11.71,0.5,3.12,13.76,70.0,Satisfactory
Bengaluru,2015-02-07,30.65,70.46,10.59,22.46,18.41,12.88,1.45,5.51,20.96,70.0,Satisfactory
Bengaluru,2015-02-08,30.65,70.46,7.18,26.06,16.75,8.84,0.45,7.25,22.81,70.0,Satisfactory
Bengaluru,2015-02-09,30.65,70.46,3.78,22.48,13.7,13.61,0.64,3.37,31.01,70.0,Satisfactory
Bengaluru,2015-02-10,30.65,70.46,4.97,20.18,13.54,13.04,0.77,1.04,39.86,70.0,Satisfactory
Bengaluru,2015-02-11,30.65,70.46,10.52,26.52,20.81,12.44,0.57,1.64,32.19,70.0,Satisfactory
Bengaluru,2015-02-12,30.65,70.46,10.1,21.47,18.0,26.22,0.96,12.98,44.15,70.0,Satisfactory
Bengaluru,2015-02-13,30.65,70.46,16.74,21.85,23.38,19.31,1.32,7.56,37.79,70.0,Satisfactory
Bengaluru,2015-02-14,30.65,70.46,11.29,26.05,21.19,17.14,0.9,5.18,31.76,70.0,Satisfactory
Bengaluru,2015-02-15,30.65,70.46,4.71,23.68,15.19,11.14,0.76,4.82,45.16,70.0,Satisfactory
Bengaluru,2015-02-16,30.65,70.46,10.65,24.41,19.88,10.67,2.35,3.84,49.3,70.0,Satisfactory
Bengaluru,2015-02-17,30.65,70.46,15.95,24.68,24.11,4.66,0.83,13.39,44.34,70.0,Satisfactory
Bengaluru,2015-02-18,30.65,70.46,17.48,23.38,23.51,6.34,3.23,17.62,28.85,70.0,Satisfactory
Bengaluru,2015-02-19,30.65,70.46,14.46,27.71,24.33,19.81,2.18,11.15,31.69,70.0,Satisfactory
Bengaluru,2015-02-20,30.65,70.46,10.0,22.83,18.26,31.1,6.95,12.52,33.43,70.0,Satisfactory
Bengaluru,2015-02-21,30.65,70.46,4.77,21.34,14.07,12.5,8.98,14.25,39.2,70.0,Satisfactory
Bengaluru,2015-02-22,30.65,70.46,8.27,24.09,17.26,13.56,6.28,13.11,54.18,70.0,Satisfactory
Bengaluru,2015-02-23,30.65,70.46,7.39,24.14,16.93,15.44,13.56,11.93,53.97,70.0,Satisfactory
Bengaluru,2015-02-24,30.65,70.46,13.49,28.8,24.25,17.21,4.78,5.76,40.55,70.0,Satisfactory
Bengaluru,2015-02-25,30.65,70.46,13.88,29.78,24.83,21.85,1.49,6.5,51.91,70.0,Satisfactory
Bengaluru,2015-02-26,30.65,70.46,9.7,31.32,22.64,17.22,1.24,7.13,65.41,70.0,Satisfactory
Bengaluru,2015-02-27,30.65,70.46,6.52,26.9,18.07,20.09,1.14,4.0,66.49,70.0,Satisfactory
Bengaluru,2015-02-28,30.65,70.46,2.94,19.57,11.15,17.43,1.38,2.82,62.61,70.0,Satisfactory
Bengaluru,2015-03-01,30.65,70.46,2.52,10.39,10.91,15.23,0.48,6.93,51.37,70.0,Satisfactory
Bengaluru,2015-03-02,30.65,70.46,4.23,18.06,14.59,33.23,3.56,6.72,58.97,70.0,Satisfactory
Bengaluru,2015-03-03,30.65,70.46,7.81,19.56,17.16,30.4,14.67,8.6,43.5,70.0,Satisfactory
Bengaluru,2015-03-04,30.65,70.46,4.75,17.36,12.54,12.44,3.39,5.99,61.8,70.0,Satisfactory
Bengaluru,2015-03-05,30.65,70.46,11.53,19.94,18.57,6.9,29.33,8.79,45.01,70.0,Satisfactory
Bengaluru,2015-03-06,30.65,70.46,5.94,15.04,12.71,6.3,23.53,16.03,31.55,70.0,Satisfactory
Bengaluru,2015-03-07,30.65,70.46,7.08,15.68,14.94,6.46,25.7,12.69,36.67,70.0,Satisfactory
Bengaluru,2015-03-08,30.65,70.46,5.24,11.59,9.48,11.83,16.01,11.89,45.87,70.0,Satisfactory
Bengaluru,2015-03-09,30.65,70.46,6.85,20.06,18.5,23.32,25.5,11.47,36.7,70.0,Satisfactory
Bengaluru,2015-03-10,30.65,70.46,4.95,26.12,17.58,21.54,1.08,3.17,41.81,70.0,Satisfactory
