City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Bhopal,2019-09-17,23.12,43.95,13.38,38.58,31.4,34.63,1.52,10.53,41.86,44.0,Good
Bhopal,2019-09-18,21.25,38.2,16.08,37.81,33.18,44.14,1.38,8.95,24.7,89.0,Satisfactory
Bhopal,2019-09-19,16.94,41.09,12.94,25.28,23.96,47.43,0.95,8.08,31.66,77.0,Satisfactory
Bhopal,2019-09-20,15.29,43.1,11.93,26.05,23.56,42.29,0.95,7.52,30.93,76.0,Satisfactory
Bhopal,2019-09-21,20.75,62.7,14.9,30.9,28.55,46.25,1.41,7.31,27.19,82.0,Satisfactory
Bhopal,2019-09-22,11.21,42.45,12.44,25.74,23.8,44.52,1.16,5.82,38.87,90.0,Satisfactory
Bhopal,2019-09-23,11.81,44.21,11.05,25.81,22.72,48.42,1.07,5.34,32.97,82.0,Satisfactory
Bhopal,2019-09-24,17.7,53.29,9.59,28.48,22.95,40.42,1.18,4.96,38.57,80.0,Satisfactory
Bhopal,2019-09-25,20.41,50.27,10.74,28.75,24.02,46.34,1.11,7.96,36.42,81.0,Satisfactory
Bhopal,2019-09-26,17.21,31.31,14.75,27.96,26.86,47.0,1.05,9.32,28.2,77.0,Satisfactory
Bhopal,2019-09-27,12.65,31.54,9.57,20.58,18.72,50.15,0.84,9.64,29.49,69.0,Satisfactory
Bhopal,2019-09-28,3.4,16.32,8.05,14.11,14.05,47.07,0.64,6.72,37.28,52.0,Satisfactory
Bhopal,2019-09-29,7.23,27.84,10.21,17.12,17.41,51.91,0.66,5.91,28.85,49.0,Good
Bhopal,2019-09-30,8.7,36.97,13.93,22.35,23.21,46.82,0.7,8.9,26.74,56.0,Satisfactory
Bhopal,2019-10-01,6.53,21.31,7.3,13.46,13.09,42.77,0.71,7.08,43.46,68.0,Satisfactory
Bhopal,2019-10-02,20.86,72.34,10.44,27.86,23.31,37.95,0.87,7.08,50.24,75.0,Satisfactory
Bhopal,2019-10-03,24.92,106.41,7.92,34.15,24.6,37.23,0.75,9.36,66.15,97.0,Satisfactory
Bhopal,2019-10-04,28.1,122.06,9.29,33.99,25.63,36.82,1.04,8.53,65.06,112.0,Moderate
Bhopal,2019-10-05,26.41,99.6,12.64,36.45,28.3,40.41,1.01,8.38,63.02,117.0,Moderate
Bhopal,2019-10-06,32.5,90.64,10.19,34.81,26.8,16.79,1.19,9.9,40.2,101.0,Moderate
Bhopal,2019-10-07,39.74,102.93,16.9,38.5,34.22,17.08,1.45,8.29,40.72,109.0,Moderate
Bhopal,2019-10-08,52.66,130.64,6.13,34.1,23.13,18.88,1.26,11.29,77.47,143.0,Moderate
Bhopal,2019-10-09,36.92,114.12,3.78,32.53,20.39,13.56,0.83,12.3,79.94,123.0,Moderate
Bhopal,2019-10-10,42.55,126.36,10.57,43.5,31.74,15.13,1.05,10.09,66.05,118.0,Moderate
Bhopal,2019-10-11,53.12,155.77,10.0,38.56,28.64,17.43,0.96,7.99,57.36,141.0,Moderate
Bhopal,2019-10-12,48.92,175.24,17.8,56.37,44.45,15.28,1.37,10.03,61.57,140.0,Moderate
Bhopal,2019-10-13,55.86,199.68,30.94,61.95,58.11,19.45,1.47,9.7,63.59,168.0,Moderate
Bhopal,2019-10-14,44.56,159.02,5.46,33.55,22.29,16.73,0.88,10.87,86.69,159.0,Moderate
Bhopal,2019-10-15,49.07,160.57,9.73,47.42,33.14,19.9,0.96,10.06,71.97,141.0,Moderate
Bhopal,2019-10-16,53.62,185.45,20.64,46.41,41.46,19.78,1.03,10.75,69.49,148.0,Moderate
Bhopal,2019-10-17,60.57,168.04,25.18,44.07,43.92,19.13,1.11,11.46,68.71,155.0,Moderate
Bhopal,2019-10-18,69.65,176.36,15.09,54.27,41.14,22.23,1.5,8.69,62.63,159.0,Moderate
Bhopal,2019-10-19,70.39,152.01,3.82,29.21,18.64,19.85,0.99,13.41,59.11,146.0,Moderate
Bhopal,2019-10-20,86.57,141.8,8.05,41.02,28.36,19.25,1.18,13.41,44.4,144.0,Moderate
Bhopal,2019-10-21,98.98,163.5,7.72,41.72,28.46,20.61,1.17,8.65,45.51,225.0,Poor
Bhopal,2019-10-22,84.03,176.99,9.42,52.3,35.47,19.0,1.3,9.64,46.25,209.0,Poor
Bhopal,2019-10-23,49.01,115.92,9.07,45.9,31.79,16.1,1.09,9.81,51.28,135.0,Moderate
Bhopal,2019-10-24,50.81,153.3,9.86,44.22,31.54,14.41,1.24,15.89,57.63,116.0,Moderate
Bhopal,2019-10-25,82.8,224.32,16.43,51.52,40.76,21.55,1.48,11.75,67.26,181.0,Moderate
Bhopal,2019-10-26,52.39,107.92,4.48,27.36,18.19,16.69,0.8,11.37,51.28,128.0,Moderate
Bhopal,2019-10-27,61.4,89.15,6.93,29.86,21.53,14.07,1.1,12.38,29.35,99.0,Satisfactory
Bhopal,2019-10-28,77.79,108.58,4.49,22.31,15.52,13.27,0.72,14.05,42.02,228.0,Poor
Bhopal,2019-10-29,41.17,79.21,21.42,29.38,33.04,11.37,1.21,10.04,43.73,85.0,Satisfactory
Bhopal,2019-10-30,32.48,71.23,3.49,28.91,18.21,12.66,0.96,12.39,53.56,108.0,Moderate
Bhopal,2019-10-31,76.75,153.35,24.93,69.34,57.14,15.64,1.58,13.23,36.64,117.0,Moderate
Bhopal,2019-11-01,84.25,163.21,10.79,56.23,38.68,16.05,1.39,18.31,53.06,179.0,Moderate
Bhopal,2019-11-02,59.49,119.11,5.75,35.27,23.43,13.07,1.03,15.56,37.27,153.0,Moderate
Bhopal,2019-11-03,41.34,88.69,6.96,32.76,23.08,12.62,1.02,12.54,40.69,97.0,Satisfactory
Bhopal,2019-11-04,62.23,149.39,15.63,48.17,38.34,17.44,1.47,7.87,40.1,129.0,Moderate
Bhopal,2019-11-05,65.74,157.38,7.58,57.11,36.54,17.61,1.46,9.59,52.59,146.0,Moderate
Bhopal,2019-11-06,80.33,174.05,10.14,53.19,36.53,17.61,1.33,15.74,56.88,146.0,Moderate
Bhopal,2019-11-07,65.45,145.09,6.22,36.89,24.68,18.15,1.1,15.52,45.14,186.0,Moderate
Bhopal,2019-11-08,44.76,84.77,2.99,25.32,15.89,13.66,0.77,11.62,57.43,97.0,Satisfactory
Bhopal,2019-11-09,101.67,165.64,2.3,31.65,18.71,14.92,1.03,12.5,109.33,167.0,Moderate
Bhopal,2019-11-10,99.16,177.35,10.72,43.8,32.01,19.28,1.34,11.29,90.45,234.0,Poor
Bhopal,2019-11-11,92.96,199.03,16.07,51.48,40.44,18.67,1.38,15.28,67.58,220.0,Poor
Bhopal,2019-11-12,82.3,178.74,13.38,52.38,38.75,17.8,1.44,22.17,59.06,193.0,Moderate
Bhopal,2019-11-13,89.84,198.72,15.71,63.33,46.46,16.09,1.52,22.96,59.61,193.0,Moderate
Bhopal,2019-11-14,84.8,197.8,12.04,50.55,36.68,16.62,1.32,14.45,71.1,190.0,Moderate
Bhopal,2019-11-15,111.07,251.75,30.18,62.13,57.59,19.76,1.63,19.3,71.84,224.0,Poor
Bhopal,2019-11-16,111.98,249.14,28.36,67.6,59.01,21.16,1.37,17.52,66.8,268.0,Poor
Bhopal,2019-11-17,100.68,260.27,28.12,61.43,55.53,21.99,1.71,15.11,68.83,279.0,Poor
Bhopal,2019-11-18,76.82,193.01,25.39,49.59,47.02,19.67,1.25,11.55,84.68,180.0,Moderate
Bhopal,2019-11-19,76.28,201.55,16.13,55.49,42.63,17.21,1.47,16.06,73.15,174.0,Moderate
Bhopal,2019-11-20,73.75,165.16,3.42,39.49,23.78,14.97,1.07,14.87,79.82,170.0,Moderate
Bhopal,2019-11-21,108.95,209.35,12.97,46.99,35.54,18.68,1.65,22.75,70.97,236.0,Poor
Bhopal,2019-11-22,119.3,258.16,23.69,50.9,46.33,16.36,2.04,18.55,64.41,274.0,Poor
Bhopal,2019-11-23,111.51,240.16,18.54,58.73,46.31,20.3,1.54,16.49,75.19,266.0,Poor
Bhopal,2019-11-24,107.39,194.47,10.89,57.81,39.6,23.09,1.59,14.81,92.08,268.0,Poor
Bhopal,2019-11-25,98.08,173.15,3.15,46.22,27.14,23.88,1.29,15.75,90.66,244.0,Poor
Bhopal,2019-11-26,88.87,172.43,7.93,49.62,32.84,18.02,1.22,33.53,93.56,204.0,Poor
Bhopal,2019-11-27,136.42,236.76,10.29,61.91,41.3,18.74,1.59,32.95,84.14,286.0,Poor
Bhopal,2019-11-28,120.33,254.98,15.08,61.66,45.06,16.17,1.42,37.97,66.82,312.0,Very Poor
Bhopal,2019-11-29,94.52,214.24,14.13,57.15,41.88,20.77,1.58,20.05,60.33,228.0,Poor
Bhopal,2019-11-30,97.46,232.36,21.0,50.92,44.16,22.73,1.38,17.76,60.26,225.0,Poor
Bhopal,2019-12-01,102.14,208.49,8.14,42.84,29.4,20.31,1.26,22.44,73.56,218.0,Poor
Bhopal,2019-12-02,106.73,219.55,6.1,47.17,30.05,21.32,1.24,20.65,67.94,274.0,Poor
Bhopal,2019-12-03,93.3,164.93,6.13,48.07,30.56,20.14,1.09,12.33,75.97,239.0,Poor
Bhopal,2019-12-04,58.17,133.93,7.7,54.91,35.47,16.48,1.09,12.13,65.29,140.0,Moderate
Bhopal,2019-12-05,54.73,136.33,5.96,53.51,33.31,16.7,0.95,13.59,59.47,135.0,Moderate
Bhopal,2019-12-06,62.92,141.0,5.03,49.41,30.37,18.18,0.95,11.81,73.3,120.0,Moderate
Bhopal,2019-12-07,113.84,213.2,12.45,69.19,46.93,22.78,1.4,23.5,81.85,189.0,Moderate
Bhopal,2019-12-08,132.79,233.3,7.52,72.24,44.54,23.43,1.56,20.84,76.68,310.0,Very Poor
Bhopal,2019-12-09,122.7,233.44,6.71,70.44,42.92,22.92,1.54,13.35,76.1,305.0,Very Poor
Bhopal,2019-12-10,119.7,242.07,11.71,75.55,49.71,23.52,1.66,15.74,70.76,295.0,Poor
Bhopal,2019-12-11,114.08,233.12,9.05,75.67,47.61,22.64,1.43,17.54,65.67,298.0,Poor
Bhopal,2019-12-12,86.48,166.1,3.65,45.18,27.1,21.4,0.95,14.53,64.08,243.0,Poor
Bhopal,2019-12-13,48.52,97.13,3.82,36.54,22.65,22.46,0.88,10.42,58.07,121.0,Moderate
Bhopal,2019-12-14,70.34,115.59,5.21,38.1,24.59,23.66,0.92,3.97,48.52,119.0,Moderate
Bhopal,2019-12-15,69.58,105.5,6.59,36.82,25.03,22.4,0.84,5.88,38.72,120.0,Moderate
Bhopal,2019-12-16,68.18,106.69,5.93,41.63,27.06,20.98,0.86,5.34,45.16,137.0,Moderate
Bhopal,2019-12-17,98.75,144.08,6.85,47.53,30.94,25.94,0.96,5.75,49.55,180.0,Moderate
Bhopal,2019-12-18,82.89,138.04,7.56,56.51,36.29,23.1,1.05,7.82,46.45,217.0,Poor
Bhopal,2019-12-19,73.27,132.11,8.28,59.98,38.74,22.72,1.2,12.26,48.92,153.0,Moderate
Bhopal,2019-12-20,92.61,175.92,13.2,69.33,47.71,26.46,1.36,13.54,46.03,197.0,Moderate
Bhopal,2019-12-21,80.04,155.45,5.55,59.83,36.42,24.53,1.15,14.39,61.25,190.0,Moderate
Bhopal,2019-12-22,78.56,147.6,6.2,57.2,35.56,26.5,1.14,10.69,60.14,147.0,Moderate
Bhopal,2019-12-23,71.6,128.59,3.83,49.38,29.46,25.17,0.97,8.04,66.32,171.0,Moderate
Bhopal,2019-12-24,76.98,137.53,5.71,48.93,30.76,25.39,1.09,9.38,50.84,117.0,Moderate
Bhopal,2019-12-25,115.82,169.48,8.72,41.34,29.17,30.99,1.17,6.81,34.89,234.0,Poor
Bhopal,2019-12-26,77.06,128.39,8.89,49.21,33.5,22.13,1.03,7.89,52.24,241.0,Poor
Bhopal,2019-12-27,58.7,124.83,11.62,55.18,38.89,18.09,1.0,10.2,47.03,130.0,Moderate
Bhopal,2019-12-28,45.61,86.96,7.83,43.82,29.77,16.58,0.84,10.54,54.9,99.0,Satisfactory
Bhopal,2019-12-29,65.61,113.96,6.77,46.49,30.32,19.66,0.91,4.24,47.5,106.0,Moderate
Bhopal,2019-12-30,67.7,117.86,6.22,44.05,28.58,20.5,0.98,6.91,51.42,119.0,Moderate
Bhopal,2019-12-31,116.65,173.53,7.22,47.06,31.0,26.45,1.18,10.31,40.11,187.0,Moderate
Bhopal,2020-01-01,100.55,145.81,7.8,42.22,28.9,25.12,1.13,3.99,40.01,266.0,Poor
Bhopal,2020-01-02,84.46,134.81,7.69,38.04,26.58,24.02,1.04,6.96,34.23,223.0,Poor
Bhopal,2020-01-03,96.58,151.47,6.91,41.4,27.73,23.69,1.05,5.29,42.14,199.0,Moderate
Bhopal,2020-01-04,93.38,155.98,14.89,49.68,38.62,21.83,1.33,6.66,41.08,205.0,Poor
Bhopal,2020-01-05,75.17,125.76,10.56,46.67,33.5,22.43,1.1,3.36,37.47,213.0,Poor
Bhopal,2020-01-06,45.49,96.18,8.92,47.62,32.68,15.57,0.9,12.43,47.64,105.0,Moderate
Bhopal,2020-01-07,65.96,162.16,19.71,51.85,43.69,17.07,1.25,19.06,43.92,114.0,Moderate
Bhopal,2020-01-08,74.62,158.19,4.89,35.11,22.74,21.45,0.9,7.48,55.42,153.0,Moderate
Bhopal,2020-01-09,78.07,132.56,5.35,34.05,22.55,20.2,0.74,14.65,47.76,174.0,Moderate
Bhopal,2020-01-10,65.94,113.49,6.89,36.15,24.91,16.54,0.81,7.34,51.3,120.0,Moderate
Bhopal,2020-01-11,65.7,127.1,7.14,46.29,30.51,16.09,0.95,11.1,60.12,115.0,Moderate
Bhopal,2020-01-12,70.03,142.67,22.47,54.59,47.39,19.35,1.35,13.32,49.77,124.0,Moderate
Bhopal,2020-01-13,62.95,150.56,10.38,43.3,31.56,20.43,1.31,15.23,49.23,146.0,Moderate
Bhopal,2020-01-14,85.64,158.56,11.88,48.0,35.28,28.68,1.43,11.31,33.43,147.0,Moderate
Bhopal,2020-01-15,105.95,162.64,8.74,36.38,26.55,30.81,1.22,10.5,28.41,200.0,Moderate
Bhopal,2020-01-16,134.02,196.56,7.96,32.54,23.87,32.17,1.33,9.74,18.93,307.0,Very Poor
Bhopal,2020-01-17,80.47,139.95,6.67,38.33,25.9,22.01,1.01,17.33,49.45,234.0,Poor
Bhopal,2020-01-18,87.22,145.21,10.87,40.78,30.61,22.86,1.13,16.63,32.11,193.0,Moderate
Bhopal,2020-01-19,61.76,107.46,7.75,39.66,27.49,18.85,0.94,15.78,40.37,137.0,Moderate
Bhopal,2020-01-20,52.0,103.34,5.45,39.37,25.46,16.05,0.82,14.48,48.53,107.0,Moderate
Bhopal,2020-01-21,66.21,133.21,6.97,45.66,30.04,19.36,1.11,12.89,44.59,104.0,Moderate
Bhopal,2020-01-22,77.7,142.79,6.32,37.59,25.21,25.19,0.95,11.27,39.34,147.0,Moderate
Bhopal,2020-01-23,65.7,118.35,7.78,40.99,28.22,20.4,0.93,11.19,55.28,141.0,Moderate
Bhopal,2020-01-24,55.61,153.75,17.0,53.06,42.13,19.31,1.27,12.64,46.25,133.0,Moderate
Bhopal,2020-01-25,80.92,197.84,23.08,60.5,51.03,23.33,1.56,7.33,40.15,151.0,Moderate
Bhopal,2020-01-26,78.94,179.42,14.38,58.1,42.68,24.31,1.5,25.68,46.81,184.0,Moderate
