City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Chandigarh,2019-09-02,13.62,87.4,8.15,4.28,12.15,0.78,0.55,10.12,45.86,87.0,Satisfactory
Chandigarh,2019-09-03,27.93,95.68,9.72,4.71,14.19,0.88,0.79,9.36,30.18,93.0,Satisfactory
Chandigarh,2019-09-04,34.05,90.68,16.53,9.83,25.86,1.68,0.93,4.27,17.23,96.0,Satisfactory
Chandigarh,2019-09-05,34.32,59.99,11.03,4.9,16.06,1.11,0.58,14.1,26.81,77.0,Satisfactory
Chandigarh,2019-09-06,34.589999999999996,65.86,7.3,2.69,9.88,1.38,0.9,9.26,9.36,66.0,Satisfactory
Chandigarh,2019-09-07,34.86,91.04,10.35,3.73,14.09,1.7,0.78,10.48,16.77,84.0,Satisfactory
Chandigarh,2019-09-08,35.129999999999995,64.62,8.64,3.06,4.68,1.53,0.49,8.71,23.08,88.0,Satisfactory
Chandigarh,2019-09-09,35.4,89.94,6.5,2.63,8.91,1.06,0.67,9.52,40.5,90.0,Satisfactory
Chandigarh,2019-09-10,35.67,97.12,7.68,2.76,10.41,1.37,0.75,8.71,33.4,88.0,Satisfactory
Chandigarh,2019-09-11,35.94,122.52,7.93,3.08,11.04,1.34,0.75,8.51,34.62,107.0,Moderate
Chandigarh,2019-09-12,36.21,125.4,7.32,3.89,11.28,1.53,0.7,6.02,29.28,121.0,Moderate
Chandigarh,2019-09-13,36.48,62.29,8.23,5.34,10.71,1.09,0.49,7.76,26.61,90.0,Satisfactory
Chandigarh,2019-09-14,36.75,65.68,8.81,4.62,10.75,1.06,0.6,7.55,24.06,69.0,Satisfactory
Chandigarh,2019-09-15,37.02,72.54,7.44,2.62,9.98,1.25,0.55,10.1,31.07,68.0,Satisfactory
Chandigarh,2019-09-16,37.29,106.87,6.47,2.47,8.38,1.08,0.54,9.84,36.46,96.0,Satisfactory
Chandigarh,2019-09-17,37.56,119.42,6.87,2.77,9.65,1.17,0.64,10.68,41.84,102.0,Moderate
Chandigarh,2019-09-18,37.83,118.59,5.99,4.62,10.49,1.25,0.66,11.07,44.79,120.0,Moderate
Chandigarh,2019-09-19,38.1,61.67,7.61,3.3,10.9,1.37,0.65,14.74,26.14,88.0,Satisfactory
Chandigarh,2019-09-20,40.41,67.91,10.52,3.96,12.79,3.76,0.55,9.97,28.6,71.0,Satisfactory
Chandigarh,2019-09-21,27.21,62.04,8.6,7.2,10.64,5.9,0.53,9.63,34.72,69.0,Satisfactory
Chandigarh,2019-09-22,29.75,64.56,10.22,5.64,11.21,5.98,0.55,8.67,21.21,68.0,Satisfactory
Chandigarh,2019-09-23,18.35,49.86,9.53,4.55,10.1,5.94,0.51,8.83,27.24,59.0,Satisfactory
Chandigarh,2019-09-24,34.43,89.26,9.8,4.23,10.04,5.87,0.66,8.71,37.1,74.0,Satisfactory
Chandigarh,2019-09-25,33.66,105.3,10.94,6.56,11.8,5.97,0.73,8.19,21.1,102.0,Moderate
Chandigarh,2019-09-26,22.93,73.73,13.33,6.05,10.8,6.34,0.79,12.05,17.26,94.0,Satisfactory
Chandigarh,2019-09-27,16.0,57.51,18.72,5.25,17.25,6.51,0.83,12.05,24.57,80.0,Satisfactory
Chandigarh,2019-09-28,22.41,59.18,18.75,5.06,17.87,6.57,0.56,13.4,31.23,77.0,Satisfactory
Chandigarh,2019-09-29,13.93,49.87,12.76,3.31,7.67,6.1,0.5,14.95,16.21,48.0,Good
