City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Chennai,2015-01-01,173.51,48.55,16.3,15.39,22.68,4.59,1.17,9.2,11.35,174.0,Moderate
Chennai,2015-01-02,173.51,48.55,16.49,13.42,23.09,7.83,1.23,8.61,9.16,174.0,Moderate
Chennai,2015-01-03,173.51,48.55,9.72,19.56,9.99,4.63,0.77,48.23,13.45,174.0,Moderate
Chennai,2015-01-04,173.51,48.55,9.6,16.2,11.71,5.23,1.0,27.96,10.33,174.0,Moderate
Chennai,2015-01-05,173.51,48.55,9.16,16.3,12.94,5.5,0.9,16.6,9.36,174.0,Moderate
Chennai,2015-01-06,173.51,48.55,30.58,35.6,13.42,5.46,0.91,21.98,12.61,174.0,Moderate
Chennai,2015-01-07,173.51,48.55,43.92,46.38,13.32,4.9,1.22,28.13,13.94,174.0,Moderate
Chennai,2015-01-08,173.51,48.55,26.74,37.79,10.98,3.71,1.15,21.26,38.29,174.0,Moderate
Chennai,2015-01-09,173.51,48.55,39.24,42.65,10.52,5.81,1.31,22.82,27.34,174.0,Moderate
Chennai,2015-01-10,173.51,48.55,10.2,19.17,11.15,3.96,0.98,17.36,27.19,174.0,Moderate
Chennai,2015-01-11,173.51,48.55,55.04,49.87,14.65,3.77,0.8,21.75,19.04,174.0,Moderate
Chennai,2015-01-12,173.51,48.55,23.78,30.31,15.71,4.16,1.07,28.51,18.32,174.0,Moderate
Chennai,2015-01-13,173.51,48.55,48.95,64.35,12.73,6.06,0.97,16.44,17.25,174.0,Moderate
Chennai,2015-01-14,173.51,48.55,29.88,38.23,15.74,8.79,1.22,20.32,23.68,174.0,Moderate
Chennai,2015-01-15,173.51,48.55,18.58,23.87,12.97,4.53,1.01,21.92,14.1,174.0,Moderate
Chennai,2015-01-16,173.51,48.55,12.29,18.39,12.51,4.03,1.17,13.18,13.22,174.0,Moderate
Chennai,2015-01-17,173.51,48.55,9.57,17.4,12.93,3.77,1.7,10.44,26.34,174.0,Moderate
Chennai,2015-01-18,173.51,48.55,24.48,30.7,9.26,3.63,1.12,11.33,29.08,174.0,Moderate
Chennai,2015-01-19,173.51,48.55,42.76,41.8,9.43,3.82,2.35,9.72,27.45,174.0,Moderate
Chennai,2015-01-20,173.51,48.55,21.82,27.9,11.76,20.14,1.99,8.52,32.32,174.0,Moderate
Chennai,2015-01-21,173.51,48.55,43.8,59.26,8.54,3.85,1.79,9.28,18.84,174.0,Moderate
Chennai,2015-01-22,173.51,48.55,45.63,46.77,8.85,4.6,1.43,7.64,24.98,174.0,Moderate
Chennai,2015-01-23,173.51,48.55,34.64,37.55,10.49,4.01,3.43,10.57,42.33,174.0,Moderate
Chennai,2015-01-24,173.51,48.55,12.39,9.89,14.62,4.36,0.84,7.39,37.17,174.0,Moderate
Chennai,2015-01-25,173.51,48.55,34.39,10.14,14.56,3.98,0.85,7.16,17.11,174.0,Moderate
Chennai,2015-01-26,173.51,48.55,30.07,10.44,14.43,3.53,2.07,7.38,20.18,174.0,Moderate
Chennai,2015-01-27,173.51,48.55,8.83,12.63,13.41,4.28,1.16,7.14,27.02,174.0,Moderate
Chennai,2015-01-28,173.51,48.55,10.41,16.83,14.9,3.69,2.81,8.06,36.68,174.0,Moderate
Chennai,2015-01-29,173.51,48.55,44.65,41.79,13.2,3.95,0.84,8.46,26.29,174.0,Moderate
Chennai,2015-01-30,173.51,48.55,21.66,23.84,15.56,5.54,0.82,9.46,21.75,174.0,Moderate
Chennai,2015-01-31,173.51,48.55,44.76,46.59,14.26,4.37,0.94,7.88,38.57,174.0,Moderate
Chennai,2015-02-01,173.51,48.55,21.43,26.05,12.53,4.2,0.71,7.76,42.61,174.0,Moderate
Chennai,2015-02-02,173.51,48.55,10.61,15.82,20.87,3.63,1.59,10.58,38.8,174.0,Moderate
Chennai,2015-02-03,173.51,48.55,9.09,14.89,17.92,5.12,0.98,6.83,29.08,174.0,Moderate
Chennai,2015-02-04,173.51,48.55,9.22,14.0,16.97,27.6,0.85,4.89,36.62,174.0,Moderate
Chennai,2015-02-05,173.51,48.55,15.68,19.17,16.44,76.99,0.95,7.48,29.93,174.0,Moderate
Chennai,2015-02-06,173.51,48.55,11.9,16.7,17.47,81.78,0.76,7.36,37.13,174.0,Moderate
Chennai,2015-02-07,173.51,48.55,8.78,13.46,16.99,25.85,0.89,6.42,33.12,174.0,Moderate
Chennai,2015-02-08,173.51,48.55,8.35,12.98,17.84,46.65,1.16,6.21,33.17,174.0,Moderate
Chennai,2015-02-09,173.51,48.55,8.43,13.43,19.17,37.42,1.1,6.27,31.08,174.0,Moderate
Chennai,2015-02-10,173.51,48.55,8.99,13.2,16.15,58.69,1.0,6.64,40.77,174.0,Moderate
Chennai,2015-02-11,173.51,48.55,11.62,14.8,17.39,50.48,1.0,6.87,40.57,174.0,Moderate
Chennai,2015-02-12,173.51,48.55,10.77,14.27,16.47,47.94,0.97,6.79,47.85,174.0,Moderate
Chennai,2015-02-13,173.51,48.55,11.4,14.16,14.83,56.36,1.19,7.21,36.94,174.0,Moderate
Chennai,2015-02-14,173.51,48.55,9.83,12.97,15.28,56.06,1.43,7.84,31.32,174.0,Moderate
Chennai,2015-02-15,173.51,48.55,9.97,13.02,16.57,68.44,0.99,7.58,26.41,174.0,Moderate
Chennai,2015-02-16,173.51,48.55,9.55,12.63,15.2,82.48,0.98,7.38,30.87,174.0,Moderate
Chennai,2015-02-17,173.51,48.55,11.76,14.43,11.95,116.59,5.18,8.35,33.53,174.0,Moderate
Chennai,2015-02-18,173.51,48.55,12.57,15.78,10.13,113.29,9.81,9.15,33.83,174.0,Moderate
Chennai,2015-02-19,173.51,48.55,12.62,15.2,10.55,85.61,9.99,9.42,19.3,174.0,Moderate
Chennai,2015-02-20,173.51,48.55,12.1,13.43,13.11,98.16,4.52,11.51,30.22,174.0,Moderate
Chennai,2015-02-21,173.51,48.55,9.33,11.56,14.85,103.03,0.85,7.04,24.91,174.0,Moderate
Chennai,2015-02-22,173.51,48.55,8.72,11.4,12.7,110.13,0.9,6.31,30.54,174.0,Moderate
Chennai,2015-02-23,173.51,48.55,13.54,15.81,13.57,105.68,0.9,6.13,25.03,174.0,Moderate
Chennai,2015-02-24,173.51,48.55,14.05,14.44,14.09,114.96,0.9,7.34,29.33,174.0,Moderate
Chennai,2015-02-25,173.51,48.55,10.83,11.57,16.94,62.31,1.41,8.67,30.18,174.0,Moderate
Chennai,2015-02-26,173.51,48.55,7.97,13.22,15.59,60.18,3.42,6.31,29.46,174.0,Moderate
Chennai,2015-02-27,173.51,48.55,10.16,11.24,12.99,58.05,0.97,7.77,40.47,174.0,Moderate
Chennai,2015-02-28,173.51,48.55,8.73,11.7,11.08,29.87,1.15,6.09,25.91,174.0,Moderate
Chennai,2015-03-01,173.51,48.55,8.16,11.38,11.91,14.42,1.15,5.8,52.44,174.0,Moderate
Chennai,2015-03-02,173.51,48.55,8.66,10.95,12.26,14.83,10.6,5.29,93.22,174.0,Moderate
Chennai,2015-03-03,173.51,48.55,10.02,12.29,11.48,63.64,5.33,8.15,47.22,174.0,Moderate
Chennai,2015-03-04,173.51,48.55,9.25,11.37,11.41,58.57,2.82,6.77,41.26,174.0,Moderate
Chennai,2015-03-05,173.51,48.55,10.67,14.04,8.45,40.55,9.85,7.59,63.26,174.0,Moderate
Chennai,2015-03-06,173.51,48.55,11.44,16.34,8.46,74.0,11.02,10.07,105.13,174.0,Moderate
Chennai,2015-03-07,173.51,48.55,11.05,18.61,11.19,10.8,10.12,8.04,85.37,174.0,Moderate
Chennai,2015-03-08,173.51,48.55,10.26,18.9,10.12,10.89,9.77,5.5,64.65,174.0,Moderate
Chennai,2015-03-09,173.51,48.55,10.03,18.29,12.99,11.03,9.93,5.29,77.43,174.0,Moderate
Chennai,2015-03-10,173.51,48.55,10.07,22.44,16.57,11.42,5.45,4.61,34.6,174.0,Moderate
Chennai,2015-03-11,173.51,48.55,10.4,21.64,19.98,11.56,1.13,5.03,35.85,174.0,Moderate
Chennai,2015-03-12,173.51,48.55,11.46,16.02,14.87,10.86,1.11,5.22,57.14,174.0,Moderate
Chennai,2015-03-13,173.51,48.55,11.18,16.2,13.81,13.77,2.8,8.43,52.68,174.0,Moderate
Chennai,2015-03-14,173.51,48.55,9.82,16.41,14.35,10.89,1.12,7.79,51.23,174.0,Moderate
Chennai,2015-03-15,173.51,48.55,30.73,35.78,13.25,11.15,1.07,5.58,47.28,174.0,Moderate
Chennai,2015-03-16,173.51,48.55,17.08,24.87,14.08,11.16,1.09,5.63,52.19,174.0,Moderate
Chennai,2015-03-17,173.51,48.55,35.48,48.6,17.67,10.54,1.07,10.75,73.63,174.0,Moderate
Chennai,2015-03-18,173.51,48.55,46.92,54.96,14.34,9.96,1.25,10.87,34.43,174.0,Moderate
Chennai,2015-03-19,173.51,48.55,14.24,22.4,16.37,9.99,1.02,12.45,48.82,174.0,Moderate
Chennai,2015-03-20,173.51,48.55,14.93,22.22,13.62,10.04,1.05,10.7,35.5,174.0,Moderate
Chennai,2015-03-21,173.51,48.55,24.83,36.81,15.25,11.76,0.81,13.96,54.8,174.0,Moderate
Chennai,2015-03-22,173.51,48.55,14.05,22.96,12.06,9.56,2.24,8.66,49.91,174.0,Moderate
Chennai,2015-03-23,173.51,48.55,26.85,30.32,14.48,11.76,1.38,8.86,30.17,174.0,Moderate
Chennai,2015-03-24,149.04,48.55,31.23,112.29,12.77,9.68,0.93,14.04,38.67,333.0,Very Poor
Chennai,2015-03-25,205.65,48.55,26.97,98.75,14.71,13.31,1.32,10.16,39.17,206.0,Poor
Chennai,2015-03-26,140.21,48.55,16.83,31.79,25.73,10.91,1.41,11.94,44.52,318.0,Very Poor
Chennai,2015-03-27,266.29,48.55,39.96,50.12,20.48,11.51,1.27,25.45,27.64,408.0,Severe
