City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Gandhinagar,2019-02-01,30.37,109.96,11.07,21.15,32.21,24.2,1.71,4.21,38.74,110.0,Moderate
Gandhinagar,2019-02-02,44.24333333333333,126.26666666666667,12.47,29.063333333333333,41.526666666666664,20.863333333333333,1.84,6.11,39.4,126.0,Moderate
Gandhinagar,2019-02-03,58.11666666666666,142.57333333333332,13.87,36.97666666666667,50.843333333333334,17.526666666666667,1.97,8.01,40.06,143.0,Moderate
Gandhinagar,2019-02-04,71.99,158.88,15.27,44.89,60.16,14.19,2.1,9.91,40.72,159.0,Moderate
Gandhinagar,2019-02-05,65.01,128.22,20.04,57.72,77.76,12.68,1.96,10.02,38.03,128.0,Moderate
Gandhinagar,2019-02-06,32.49,76.91,10.16,37.43,47.58,18.82,1.6,9.36,31.73,77.0,Satisfactory
Gandhinagar,2019-02-07,43.96,147.62,9.27,36.28,45.55,19.16,1.77,7.94,36.33,148.0,Moderate
Gandhinagar,2019-02-08,80.35,203.5,8.75,29.85,38.61,22.05,1.68,11.79,29.14,204.0,Poor
Gandhinagar,2019-02-09,46.67,105.15,8.17,32.17,40.34,22.9,1.86,2.13,32.57,105.0,Moderate
Gandhinagar,2019-02-10,44.14,79.2,8.66,46.32,55.18,20.03,1.83,2.25,31.64,79.0,Satisfactory
Gandhinagar,2019-02-11,44.91,92.09,8.01,41.15,49.16,20.31,1.83,2.55,36.25,92.0,Satisfactory
Gandhinagar,2019-02-12,48.96,129.92,8.79,39.77,48.56,19.36,1.85,2.92,35.66,130.0,Moderate
Gandhinagar,2019-02-13,54.93,125.84,11.77,45.42,57.19,16.43,1.93,3.81,35.89,126.0,Moderate
Gandhinagar,2019-02-14,57.88,131.57,12.67,50.57,63.1,14.61,1.21,3.17,29.54,132.0,Moderate
Gandhinagar,2019-02-15,76.73,142.38,12.72,49.15,61.87,15.55,0.62,2.7,30.24,142.0,Moderate
Gandhinagar,2019-02-16,43.84,111.03,9.79,44.48,54.27,17.82,0.66,2.46,29.04,111.0,Moderate
Gandhinagar,2019-02-17,57.75,119.74,11.37,52.57,63.94,17.78,0.7,2.38,27.06,120.0,Moderate
Gandhinagar,2019-02-18,79.95,171.59,16.65,62.83,79.48,15.4,0.75,5.52,23.82,172.0,Moderate
Gandhinagar,2019-02-19,39.94,81.42,12.28,38.03,50.37,21.27,0.3,3.72,23.62,81.0,Satisfactory
Gandhinagar,2019-02-20,47.24,126.63,18.25,28.76,47.01,28.99,0.24,3.52,27.68,127.0,Moderate
Gandhinagar,2019-02-21,33.82,75.89,8.84,14.39,23.24,29.89,0.14,5.19,20.54,76.0,Satisfactory
Gandhinagar,2019-02-22,39.13,92.51,12.08,18.62,30.68,30.17,0.24,4.01,33.34,93.0,Satisfactory
Gandhinagar,2019-02-23,35.16,98.9,9.49,17.12,26.6,31.4,0.27,6.96,39.0,99.0,Satisfactory
Gandhinagar,2019-02-24,50.52,122.43,18.92,30.19,49.05,29.88,0.5,4.78,35.62,122.0,Moderate
Gandhinagar,2019-02-25,58.66,139.62,16.39,25.65,42.05,29.41,0.43,11.32,29.85,140.0,Moderate
Gandhinagar,2019-02-26,48.46,150.57,8.52,13.23,21.75,30.56,0.17,8.75,24.31,151.0,Moderate
Gandhinagar,2019-02-27,42.88,110.68,9.23,14.65,23.87,30.79,0.19,4.94,26.94,111.0,Moderate
Gandhinagar,2019-02-28,34.67,97.54,12.78,19.02,31.92,31.07,0.37,3.32,45.16,98.0,Satisfactory
Gandhinagar,2019-03-01,45.42,115.69,9.92,15.54,25.46,30.97,0.29,2.68,47.28,116.0,Moderate
Gandhinagar,2019-03-02,37.83,119.92,6.54,10.4,16.94,31.21,0.3,6.08,60.7,120.0,Moderate
Gandhinagar,2019-03-03,47.67,124.89,9.07,14.11,23.18,29.18,0.32,6.36,20.14,125.0,Moderate
Gandhinagar,2019-03-04,42.41,119.64,7.52,12.57,20.09,30.89,0.24,2.32,35.98,120.0,Moderate
Gandhinagar,2019-03-05,41.12,95.93,10.19,16.94,27.12,29.87,0.34,3.29,34.52,96.0,Satisfactory
Gandhinagar,2019-03-06,43.68,102.09,17.47,24.93,42.41,27.35,0.55,4.02,20.58,102.0,Moderate
Gandhinagar,2019-03-07,57.28,136.41,19.8,27.9,47.71,24.81,0.56,4.61,26.0,136.0,Moderate
Gandhinagar,2019-03-08,62.02,155.99,28.42,37.72,66.15,21.2,0.67,12.4,17.77,156.0,Moderate
Gandhinagar,2019-03-09,54.041428571428575,154.53285714285715,24.352,32.967999999999996,57.328,22.188,0.5928571428571429,11.1,18.494285714285713,155.0,Moderate
Gandhinagar,2019-03-10,46.06285714285715,153.0757142857143,20.284,28.216,48.506,23.176,0.5157142857142858,9.8,19.21857142857143,153.0,Moderate
Gandhinagar,2019-03-11,38.08428571428571,151.61857142857144,16.216,23.464,39.684000000000005,24.164,0.4385714285714286,8.5,19.942857142857143,152.0,Moderate
Gandhinagar,2019-03-12,30.10571428571429,150.16142857142856,12.148,18.712,30.862000000000002,25.152,0.36142857142857143,7.2,20.667142857142856,150.0,Moderate
Gandhinagar,2019-03-13,22.127142857142857,148.7042857142857,8.08,13.96,22.04,26.14,0.28428571428571425,5.9,21.39142857142857,149.0,Moderate
Gandhinagar,2019-03-14,14.14857142857143,147.24714285714285,7.46,12.96,20.44,26.17,0.20714285714285713,12.094999999999999,22.115714285714287,147.0,Moderate
Gandhinagar,2019-03-15,6.17,145.79,7.89,16.82,24.72,26.2,0.13,18.29,22.84,146.0,Moderate
Gandhinagar,2019-03-16,40.7,128.77,5.84,20.17,26.01,26.23,0.49,12.41,38.79,129.0,Moderate
Gandhinagar,2019-03-17,43.9,104.28,5.82,20.57,26.38,26.59,0.48,9.61,33.21,104.0,Moderate
Gandhinagar,2019-03-18,39.85,100.47,6.2,17.81,23.75,27.67,0.5,12.37,20.89,100.0,Satisfactory
Gandhinagar,2019-03-19,33.64,88.97,7.03,18.38,25.37,26.1,0.46,7.35,32.6,89.0,Satisfactory
Gandhinagar,2019-03-20,64.75,169.02,16.31,32.6,48.91,22.91,0.53,25.75,12.29,169.0,Moderate
Gandhinagar,2019-03-21,59.23571428571429,142.02,13.223333333333333,31.404444444444447,40.06666666666666,24.296,0.5266666666666667,19.57,14.742857142857142,142.0,Moderate
Gandhinagar,2019-03-22,53.721428571428575,115.02000000000001,10.136666666666667,30.20888888888889,31.223333333333333,25.682,0.5233333333333333,13.39,17.195714285714285,115.0,Moderate
Gandhinagar,2019-03-23,48.207142857142856,88.02,7.05,29.013333333333335,22.38,27.067999999999998,0.52,7.21,19.64857142857143,88.0,Satisfactory
Gandhinagar,2019-03-24,42.69285714285714,92.72,6.975,27.817777777777778,21.9725,28.454,0.485,6.675,22.10142857142857,93.0,Satisfactory
Gandhinagar,2019-03-25,37.17857142857143,97.41999999999999,6.9,26.622222222222224,21.564999999999998,29.84,0.45,6.140000000000001,24.554285714285715,97.0,Satisfactory
Gandhinagar,2019-03-26,31.66428571428571,102.11999999999999,6.825,25.42666666666667,21.1575,27.9825,0.45999999999999996,5.605,27.00714285714286,102.0,Moderate
Gandhinagar,2019-03-27,26.15,106.82,6.75,24.23111111111111,20.75,26.125,0.47,5.07,29.46,107.0,Moderate
Gandhinagar,2019-03-28,34.875,114.59,9.7,23.035555555555554,27.62,24.2675,0.77,8.84,30.695,115.0,Moderate
Gandhinagar,2019-03-29,43.6,122.36,12.65,21.84,34.49,22.41,1.07,12.61,31.93,122.0,Moderate
