City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Hyderabad,2015-01-04,47.03,93.0,3.7,17.19,20.89,24.94,0.3,2.58,30.34,93.0,Satisfactory
Hyderabad,2015-01-05,47.03,93.0,3.61,9.69,13.3,24.94,0.23,5.19,31.28,93.0,Satisfactory
Hyderabad,2015-01-06,47.03,93.0,4.21,22.02,26.23,24.94,0.31,9.09,28.56,93.0,Satisfactory
Hyderabad,2015-01-07,47.03,93.0,26.08,40.08,66.15,24.94,0.53,9.03,31.08,93.0,Satisfactory
Hyderabad,2015-01-08,47.03,93.0,10.31,33.02,43.33,24.94,0.44,8.47,35.72,93.0,Satisfactory
Hyderabad,2015-01-09,47.03,93.0,8.79,31.6,40.39,24.94,0.39,8.92,34.77,93.0,Satisfactory
Hyderabad,2015-01-10,47.03,93.0,8.12,32.52,40.64,24.94,0.43,9.59,34.63,93.0,Satisfactory
Hyderabad,2015-01-11,47.03,93.0,14.0,31.96,45.96,24.94,0.39,12.53,38.74,93.0,Satisfactory
Hyderabad,2015-01-12,47.03,93.0,13.26,30.2,43.46,24.94,0.48,8.58,20.94,93.0,Satisfactory
Hyderabad,2015-01-13,47.03,93.0,33.63,23.37,57.0,24.94,0.72,3.01,13.66,93.0,Satisfactory
Hyderabad,2015-01-14,47.03,93.0,32.0,23.01,55.0,24.94,0.86,1.77,6.14,93.0,Satisfactory
Hyderabad,2015-01-15,47.03,93.0,16.05,22.18,38.22,24.94,0.64,2.23,9.29,93.0,Satisfactory
Hyderabad,2015-01-16,47.03,93.0,11.73,19.17,30.9,24.94,0.47,2.82,19.01,93.0,Satisfactory
Hyderabad,2015-01-17,47.03,93.0,20.28,20.48,40.76,24.94,0.61,2.65,52.25,93.0,Satisfactory
Hyderabad,2015-01-18,47.03,93.0,13.45,21.93,35.37,24.94,0.55,2.55,7.87,93.0,Satisfactory
Hyderabad,2015-01-19,47.03,93.0,12.24,21.48,33.72,24.94,0.51,2.86,10.88,93.0,Satisfactory
Hyderabad,2015-01-20,47.03,93.0,13.19,20.47,33.66,24.94,0.46,2.63,8.66,93.0,Satisfactory
Hyderabad,2015-01-21,47.03,93.0,12.78,18.09,30.87,24.94,0.4,2.71,5.24,93.0,Satisfactory
Hyderabad,2015-01-22,47.03,93.0,14.64,19.01,33.65,24.94,0.43,3.02,4.11,93.0,Satisfactory
Hyderabad,2015-01-23,47.03,93.0,15.16,21.35,36.51,24.94,0.47,3.37,9.41,93.0,Satisfactory
Hyderabad,2015-01-24,47.03,93.0,5.53,20.44,25.97,24.94,0.38,2.66,30.88,93.0,Satisfactory
Hyderabad,2015-01-25,47.03,93.0,4.32,19.71,24.02,24.94,0.36,2.71,33.1,93.0,Satisfactory
Hyderabad,2015-01-26,47.03,93.0,3.51,13.54,17.06,24.94,0.3,2.69,36.99,93.0,Satisfactory
Hyderabad,2015-01-27,47.03,93.0,4.61,18.54,23.16,24.94,0.33,2.84,36.18,93.0,Satisfactory
Hyderabad,2015-01-28,47.03,93.0,4.55,19.6,24.15,24.94,0.36,2.71,34.95,93.0,Satisfactory
Hyderabad,2015-01-29,47.03,93.0,4.37,20.68,25.05,24.94,0.41,3.19,32.16,93.0,Satisfactory
Hyderabad,2015-01-30,47.03,93.0,8.08,32.1,40.18,24.94,0.55,3.34,25.65,93.0,Satisfactory
Hyderabad,2015-01-31,47.03,93.0,6.68,28.57,35.25,24.94,0.53,5.55,31.78,93.0,Satisfactory
Hyderabad,2015-02-01,47.03,93.0,10.45,32.65,43.1,24.94,0.58,5.06,23.39,93.0,Satisfactory
Hyderabad,2015-02-02,47.03,93.0,5.51,23.89,29.4,24.94,0.4,3.04,30.22,93.0,Satisfactory
Hyderabad,2015-02-03,47.03,93.0,4.29,19.41,23.71,24.94,0.41,3.65,38.1,93.0,Satisfactory
Hyderabad,2015-02-04,47.03,93.0,44.13,45.9,90.03,24.94,0.83,4.64,24.27,93.0,Satisfactory
