City,Lat,Long,State
Abohar,30.144533,74.19552,Punjab
Adilabad,19.4,78.31,Telangana
Agartala,23.836049,91.279386,Tripura
Agra,27.187935,78.003944,Uttar Pradesh
Ahmadnagar,19.094571,74.738432,Maharashtra
Ahmedabad,23.025793,72.587265,Gujarat
Aizawl  ,23.736701,92.714596,Mizoram
Ajmer,26.452103,74.638667,Rajasthan
Akola,20.709569,76.998103,Maharashtra
Alappuzha,9.494647,76.331108,Kerala
Aligarh,27.881453,78.07464,Uttar Pradesh
Alipurduar,26.4835,89.522855,West Bengal
Allahabad,25.44478,81.843217,Uttar Pradesh
Alwar,27.566291,76.610202,Rajasthan
Ambala,30.360993,76.797819,Haryana
Amaravati,20.933272,77.75152,Maharashtra
Amritsar,31.622337,74.875335,Punjab
Asansol,23.683333,86.983333,West Bengal
Aurangabad,19.880943,75.346739,Maharashtra
Aurangabad,24.752037,84.374202,Bihar
Bakshpur,25.894283,80.792104,Uttar Pradesh
Bamanpuri,28.804495,79.040305,Uttar Pradesh
Baramula,34.209004,74.342853,Jammu and Kashmir
Barddhaman,23.255716,87.856906,West Bengal
Bareilly,28.347023,79.421934,Uttar Pradesh
Belgaum,15.862643,74.508534,Karnataka
Bellary,15.142049,76.92398,Karnataka
Bengaluru,12.977063,77.587106,Karnataka
Bhagalpur,25.244462,86.971832,Bihar
Bharatpur,27.215251,77.492786,Rajasthan
Bharauri,27.598203,81.694709,Uttar Pradesh
Bhatpara,22.866431,88.401129,West Bengal
Bhavnagar,21.774455,72.152496,Gujarat
Bhilai,21.209188,81.428497,Chhattisgarh
Bhilwara,25.347071,74.640812,Rajasthan
Bhiwandi,19.300229,73.058813,Maharashtra
Bhiwani,28.793044,76.13968,Haryana
Bhopal ,23.254688,77.402892,Madhya Pradesh
Bhubaneshwar,20.272411,85.833853,Odisha
Bhuj,23.253972,69.669281,Gujarat
Bhusaval,21.043649,75.785058,Maharashtra
Bidar,17.913309,77.530105,Karnataka
Bijapur,16.827715,75.718988,Karnataka
Bikaner,28.017623,73.314955,Rajasthan
Bilaspur,22.080046,82.155431,Chhattisgarh
Brahmapur,19.311514,84.792903,Odisha
Budaun,28.038114,79.126677,Uttar Pradesh
Bulandshahr,28.403922,77.857731,Uttar Pradesh
Calicut,11.248016,75.780402,Kerala
Chanda,19.950758,79.295229,Maharashtra
Chandigarh ,30.736292,76.788398,Chandigarh
Chennai,13.084622,80.248357,Tamil Nadu 
Chikka Mandya,12.545602,76.895078,Karnataka
Chirala,15.823849,80.352187,Andhra Pradesh
Coimbatore,11.005547,76.966122,Tamil Nadu 
Cuddalore,11.746289,79.764362,Tamil Nadu 
Cuttack,20.522922,85.78813,Odisha
Daman,20.414315,72.83236,Daman and Diu
Davangere,14.469237,75.92375,Karnataka
DehraDun,30.324427,78.033922,Uttarakhand
Delhi,28.651952,77.231495,Delhi
Dhanbad,23.801988,86.443244,Jharkhand
Dibrugarh,27.479888,94.90837,Assam
Dindigul,10.362853,77.975827,Tamil Nadu 
Dispur,26.135638,91.800688,Assam
Diu,20.715115,70.987952,Daman and Diu
Faridabad,28.411236,77.313162,Haryana
Firozabad,27.150917,78.397808,Uttar Pradesh
Fyzabad,26.775486,82.150182,Uttar Pradesh
Gangtok,27.325739,88.612155,Sikkim
Gaya,24.796858,85.003852,Bihar
Gandhinagar,23.216667,72.683333,Gujarat
Ghaziabad,28.665353,77.439148,Uttar Pradesh
Gopalpur,26.735389,83.38064,Uttar Pradesh
Gulbarga,17.335827,76.83757,Karnataka
Guntur,16.299737,80.457293,Andhra Pradesh
Gurugram,28.460105,77.026352,Haryana
Guwahati,26.176076,91.762932,Assam
Gwalior,26.229825,78.173369,Madhya Pradesh
Haldia,22.025278,88.058333,West Bengal
Haora,22.576882,88.318566,West Bengal
Hapur,28.729845,77.780681,Uttar Pradesh
Haripur,31.463218,75.986418,Punjab
Hata,27.592698,78.013843,Uttar Pradesh
Hindupur,13.828065,77.491425,Andhra Pradesh
Hisar,29.153938,75.722944,Haryana
Hospet,15.269537,76.387103,Karnataka
Hubli,15.349955,75.138619,Karnataka
Hyderabad,17.384052,78.456355,Telangana
Imphal,24.808053,93.944203,Manipur
Indore,22.717736,75.85859,Madhya Pradesh
Itanagar,27.102349,93.692047,Arunachal Pradesh
Jabalpur,23.174495,79.935903,Madhya Pradesh
Jaipur,26.913312,75.787872,Rajasthan
Jammu,32.735686,74.869112,Jammu and Kashmir
Jamshedpur,22.802776,86.185448,Jharkhand
Jhansi,25.458872,78.579943,Uttar Pradesh
Jodhpur,26.26841,73.005943,Rajasthan
Jorhat,26.757509,94.203055,Assam
Kagaznagar,19.331589,79.466051,Andhra Pradesh
Kakinada,16.960361,82.238086,Andhra Pradesh
Kalyan,19.243703,73.135537,Maharashtra
Karimnagar,18.436738,79.13222,Telangana
Karnal,29.691971,76.984483,Haryana
Karur,10.960277,78.076753,Tamil Nadu 
Kavaratti,10.566667,72.616667,Lakshadweep
Khammam,17.247672,80.143682,Telangana
Kanpur,26.4499,80.3319,Uttar Pradesh
Kochi,9.947743,76.253802,Kerala
Kohima,25.674673,94.110988,Nagaland
Kolar,13.137679,78.129989,Karnataka
Kolhapur,16.695633,74.231669,Maharashtra
Kolkata,22.562627,88.363044,West Bengal
Kollam,8.881131,76.584694,Kerala
Kota,25.182544,75.839065,Rajasthan
Krishnanagar,23.405761,88.490733,West Bengal
Krishnapuram,12.869617,79.719469,Tamil Nadu 
Kumbakonam,10.959789,79.377472,Tamil Nadu 
Kurnool,15.828865,78.036021,Andhra Pradesh
Latur,18.399487,76.584252,Maharashtra
Lucknow,26.839281,80.923133,Uttar Pradesh
Ludhiana,30.912042,75.853789,Punjab
Machilipatnam,16.187466,81.13888,Andhra Pradesh
Madurai,9.917347,78.119622,Tamil Nadu 
Mahabubnagar,16.75,78,Telangana
Malegaon Camp,20.569974,74.515415,Maharashtra
Mangalore,12.865371,74.842432,Karnataka
Mathura,27.503501,77.672145,Uttar Pradesh
Meerut,28.980018,77.706356,Uttar Pradesh
Mirzapur,25.144902,82.565335,Uttar Pradesh
Moradabad,28.838931,78.776838,Uttar Pradesh
Mumbai,18.987807,72.836447,Maharashtra
Muzaffarnagar,29.470914,77.703324,Uttar Pradesh
Muzaffarpur,26.122593,85.390553,Bihar
Mysore,12.292664,76.638543,Karnataka
Nagercoil,8.177313,77.43437,Tamil Nadu 
Nagpur,21.1458,79.0882,Maharashtra
Nalgonda,17.05,79.27,Telangana
Nanded,19.160227,77.314971,Maharashtra
Nandyal,15.477994,78.483605,Andhra Pradesh
Nasik,19.999963,73.776887,Maharashtra
Navsari,20.85,72.916667,Gujarat
Nellore,14.449918,79.986967,Andhra Pradesh
New Delhi,28.6,77.2,Delhi
Nizamabad,18.673151,78.10008,Telangana
Ongole,15.503565,80.044541,Andhra Pradesh
Pali,25.775125,73.320611,Rajasthan
Panaji,15.498289,73.824541,Goa
Panchkula,30.691512,76.853736,Haryana
