City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Jaipur,2017-06-14,64.78,99.43,24.97,10.69,51.05,4.73,0.73,7.29,11.1,99.0,Satisfactory
Jaipur,2017-06-15,64.78,99.43,24.97,10.69,51.05,4.73,0.73,7.29,11.1,99.0,Satisfactory
Jaipur,2017-06-16,64.78,99.43,24.97,10.69,51.05,4.73,0.73,7.29,11.1,99.0,Satisfactory
Jaipur,2017-06-17,64.78,99.43,24.97,10.69,51.05,4.73,0.73,7.29,11.1,99.0,Satisfactory
Jaipur,2017-06-18,64.78,99.43,24.97,10.69,51.05,4.73,0.73,7.29,11.1,99.0,Satisfactory
Jaipur,2017-06-19,64.78,99.43,24.97,10.69,51.05,4.73,0.73,7.29,11.1,99.0,Satisfactory
Jaipur,2017-06-20,70.1,75.55,10.55,6.16,51.05,8.17,0.81,9.02,13.83,149.0,Moderate
Jaipur,2017-06-21,67.5,93.8,10.29,2.98,51.05,5.1,0.71,9.26,38.19,126.0,Moderate
Jaipur,2017-06-22,24.8,31.95,10.17,3.11,51.05,5.04,0.74,8.89,44.67,85.0,Satisfactory
Jaipur,2017-06-23,32.3,47.4,9.64,3.27,51.05,3.8,0.68,8.39,39.16,62.0,Satisfactory
Jaipur,2017-06-24,55.36,73.69,32.81,1.68,51.05,13.26,0.77,9.33,10.76,77.0,Satisfactory
Jaipur,2017-06-25,47.62,79.52,25.6875,0.01,51.05,0.89,0.73,9.15,9.38,86.0,Satisfactory
Jaipur,2017-06-26,61.34,100.61,18.565,0.07,51.05,1.19,1.01,8.55,13.56,90.0,Satisfactory
Jaipur,2017-06-27,36.51,65.54,11.442500000000003,3.215,51.05,0.63,0.82,9.33,4.17,85.0,Satisfactory
Jaipur,2017-06-28,19.66,23.81,4.32,6.36,51.05,0.34,0.86,8.56,1.34,59.0,Satisfactory
Jaipur,2017-06-29,16.8,14.47,4.56,5.9,51.05,0.6000000000000001,0.67,8.49,1.27,50.0,Good
Jaipur,2017-06-30,14.37,23.25,4.52,5.7,51.05,0.8600000000000001,0.57,8.89,1.21,43.0,Good
Jaipur,2017-07-01,25.14,26.17,4.69,6.02,51.05,1.12,0.89,9.53,1.35,55.0,Satisfactory
