City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
Jodhpur,2018-01-01,87.2,215.77,12.54,44.37,28.35,0.95,9.08,38.27,216.0,Poor
Jodhpur,2018-01-02,112.87,267.19,58.36,64.85,76.5,1.02,9.47,34.93,267.0,Poor
Jodhpur,2018-01-03,137.1,336.51,66.64,69.87,148.6,1.52,12.31,9.88,337.0,Very Poor
Jodhpur,2018-01-04,115.22,256.18,61.99,41.91,71.46,1.24,10.06,27.91,256.0,Poor
Jodhpur,2018-01-05,114.01,264.02,36.38,28.04,44.03,0.97,7.24,18.8,264.0,Poor
Jodhpur,2018-01-06,120.26,260.57,10.17,18.69,18.1,0.83,7.67,22.54,261.0,Poor
Jodhpur,2018-01-07,96.7,244.02,26.83,26.31,35.07,1.04,7.21,54.58,244.0,Poor
Jodhpur,2018-01-08,62.98,232.65,15.61,34.49,30.51,1.46,6.54,40.77,233.0,Poor
Jodhpur,2018-01-09,104.12,294.58,19.22,43.76,37.33,1.23,7.16,13.33,295.0,Poor
Jodhpur,2018-01-10,92.01,238.45,8.39,29.01,23.08,0.8,9.26,40.96,238.0,Poor
Jodhpur,2018-01-11,122.63,345.12,70.52,36.0,70.95,1.49,7.98,38.75,345.0,Very Poor
Jodhpur,2018-01-12,175.47,383.63,90.92,39.19,89.16,1.24,6.98,24.02,384.0,Very Poor
Jodhpur,2018-01-13,154.73,349.63,61.21,37.89,64.62,1.07,5.76,36.01,350.0,Very Poor
Jodhpur,2018-01-14,136.92,307.73,42.52,33.4,47.31,0.94,7.33,20.02,308.0,Very Poor
Jodhpur,2018-01-15,166.98,387.31,92.59,36.18,98.2,1.62,8.37,26.24,387.0,Very Poor
Jodhpur,2018-01-16,148.51,323.19,86.12,32.16,81.65,1.11,6.06,19.99,323.0,Very Poor
Jodhpur,2018-01-17,120.46,279.31,56.09,26.53,54.35,1.15,7.26,21.51,279.0,Poor
Jodhpur,2018-01-18,108.33,255.21,25.26,23.85,28.3,0.7,6.61,27.53,255.0,Poor
Jodhpur,2018-01-19,140.56,283.9,6.21,14.24,7.85,0.64,7.83,31.1,284.0,Poor
Jodhpur,2018-01-20,103.32,245.8,4.63,6.8,6.08,0.8,13.01,24.48,246.0,Poor
Jodhpur,2018-01-21,128.52,308.71,7.83,13.91,24.4,1.25,13.33,22.34,309.0,Very Poor
Jodhpur,2018-01-22,119.67,268.73,16.28,31.95,26.82,0.62,8.35,25.74,269.0,Poor
Jodhpur,2018-01-23,92.64,249.48,15.05,31.12,28.19,0.77,8.46,17.46,249.0,Poor
Jodhpur,2018-01-24,167.74,357.84,15.62,28.92,26.68,1.61,5.45,37.41,358.0,Very Poor
Jodhpur,2018-01-25,133.6,284.67,13.59,27.76,24.63,1.24,6.15,68.64,285.0,Poor
Jodhpur,2018-01-26,140.74,303.34,11.22,31.55,24.49,1.19,7.94,75.66,303.0,Very Poor
Jodhpur,2018-01-27,149.49,325.76,11.67,31.18,26.02,1.38,6.06,79.39,326.0,Very Poor
Jodhpur,2018-01-28,136.01,304.07,11.67,31.92,22.42,0.95,8.19,83.86,304.0,Very Poor
Jodhpur,2018-01-29,152.38,361.61,10.64,34.02,22.97,1.66,11.16,42.46,362.0,Very Poor
Jodhpur,2018-01-30,150.58,375.93,11.27,33.72,20.72,1.17,8.73,15.07,376.0,Very Poor
Jodhpur,2018-01-31,113.4,267.74,14.28,27.48,25.84,1.52,11.86,17.69,268.0,Poor
Jodhpur,2018-02-01,142.07,312.69,18.79,32.2,30.26,1.48,7.91,21.48,313.0,Very Poor
Jodhpur,2018-02-02,109.84,275.88,21.19,33.45,32.5,1.04,7.21,21.13,276.0,Poor
Jodhpur,2018-02-03,102.71,276.33,12.52,21.23,27.46,0.85,8.12,26.11,276.0,Poor
Jodhpur,2018-02-04,99.96,239.66,37.96,37.29,80.58,1.01,11.91,48.41,240.0,Poor
Jodhpur,2018-02-05,100.12,253.44,44.15,42.1,67.93,1.0,10.11,48.64,253.0,Poor
Jodhpur,2018-02-06,88.82,266.69,57.75,65.36,95.99,0.93,6.48,40.34,267.0,Poor
Jodhpur,2018-02-07,90.22,221.99,38.48,98.91,76.6,0.68,8.79,16.07,222.0,Poor
Jodhpur,2018-02-08,126.06,295.06,124.23,116.34,166.11,1.31,7.87,18.04,295.0,Poor
Jodhpur,2018-02-09,118.34,272.64,112.65,111.24,158.05,1.09,5.53,16.82,273.0,Poor
Jodhpur,2018-02-10,158.76,321.75,86.26,85.68,118.33,0.38,7.41,18.53,322.0,Very Poor
Jodhpur,2018-02-11,99.11,235.5,14.08,56.43,42.01,0.84,9.81,14.57,236.0,Poor
Jodhpur,2018-02-12,113.03,275.76,44.82,65.77,72.28,1.12,8.71,14.36,276.0,Poor
Jodhpur,2018-02-13,99.36,236.02,28.87,77.66,64.71,0.78,8.37,20.68,236.0,Poor
Jodhpur,2018-02-14,85.06,209.4,18.92,74.88,55.79,0.93,9.49,18.97,209.0,Poor
Jodhpur,2018-02-15,99.4,254.11,68.24,80.46,74.86,1.22,9.24,13.03,254.0,Poor
Jodhpur,2018-02-16,137.75,319.85,120.11,102.43,148.72,0.82,8.02,34.89,320.0,Very Poor
Jodhpur,2018-02-17,129.55,333.55,130.25,100.91,157.86,1.19,9.21,51.96,334.0,Very Poor
Jodhpur,2018-02-18,102.73,329.5,68.1,84.32,97.41,1.01,11.73,46.95,330.0,Very Poor
Jodhpur,2018-02-19,127.4,310.09,65.02,83.07,98.25,1.37,9.17,52.62,310.0,Very Poor
Jodhpur,2018-02-20,158.81,372.01,88.86,86.69,115.03,0.92,7.65,65.42,372.0,Very Poor
Jodhpur,2018-02-21,142.75,330.68,62.76,72.68,83.75,0.89,8.5,62.75,331.0,Very Poor
Jodhpur,2018-02-22,116.92,290.13,19.02,47.28,39.06,0.98,8.93,65.58,290.0,Poor
Jodhpur,2018-02-23,111.52,278.4,24.42,45.11,43.47,0.92,11.02,82.89,278.0,Poor
Jodhpur,2018-02-24,96.61,247.15,10.32,30.14,22.54,1.07,10.72,65.7,247.0,Poor
Jodhpur,2018-02-25,79.32,215.22,8.34,35.68,23.57,0.81,9.96,46.62,215.0,Poor
Jodhpur,2018-02-26,79.97,214.47,20.15,37.48,35.82,1.13,8.65,50.52,214.0,Poor
Jodhpur,2018-02-27,122.53,311.69,91.95,68.55,108.37,1.31,7.2,59.81,312.0,Very Poor
Jodhpur,2018-02-28,121.68,309.07,70.47,65.82,89.82,1.29,7.48,70.57,309.0,Very Poor
Jodhpur,2018-03-01,127.7,311.39,91.84,73.12,110.95,1.01,8.59,60.39,311.0,Very Poor
Jodhpur,2018-03-02,97.07,239.98,51.455,43.93000000000001,63.585,1.2,10.3,65.94,240.0,Poor
Jodhpur,2018-03-03,86.05,230.76,11.07,14.74,16.22,0.85,10.39,49.1,231.0,Poor
Jodhpur,2018-03-04,78.67,215.7,14.84,29.51,27.32,1.01,11.08,47.86,216.0,Poor
Jodhpur,2018-03-05,67.87,191.0,14.01,33.08,28.55,0.97,7.62,33.58,191.0,Moderate
Jodhpur,2018-03-06,76.93,207.18,31.57,45.66,49.17,1.29,5.94,37.7,207.0,Poor
Jodhpur,2018-03-07,90.33,235.43,30.21,54.78,52.83,1.02,5.68,57.12,235.0,Poor
Jodhpur,2018-03-08,97.91,252.31,35.31,57.52,58.34,1.14,4.89,62.75,252.0,Poor
Jodhpur,2018-03-09,106.31,223.68,26.7,59.57,59.07,1.13,5.91,59.15,224.0,Poor
Jodhpur,2018-03-10,100.74,243.03,37.11,62.78,60.75,1.07,6.23,51.22,243.0,Poor
Jodhpur,2018-03-11,98.08,236.66,19.51,46.92,38.23,1.03,5.37,41.48,237.0,Poor
Jodhpur,2018-03-12,99.58,245.28,27.2,58.75,50.58,1.09,5.02,56.22,245.0,Poor
Jodhpur,2018-03-13,99.84,240.73,11.95,43.36,30.35,0.82,5.45,60.55,241.0,Poor
Jodhpur,2018-03-14,89.03,256.93,11.72,32.38,24.45,1.15,6.5,72.99,257.0,Poor
Jodhpur,2018-03-15,93.78,261.01,23.23,37.07,36.04,1.19,6.07,64.92,261.0,Poor
Jodhpur,2018-03-16,105.19,262.98,25.54,49.06,44.23,1.29,5.93,61.88,263.0,Poor
Jodhpur,2018-03-17,111.41,233.89,19.85,47.69,39.84,0.77,6.06,65.6,234.0,Poor
Jodhpur,2018-03-18,108.32,214.62,16.06,54.27,39.68,0.66,6.72,64.47,215.0,Poor
Jodhpur,2018-03-19,105.51,225.95,19.48,59.43,45.11,1.15,5.99,76.12,226.0,Poor
Jodhpur,2018-03-20,120.92,255.14,18.02,50.04,39.01,0.89,6.62,60.87,255.0,Poor
Jodhpur,2018-03-21,145.71,320.14,10.7,31.1,23.2,0.86,7.05,63.19,320.0,Very Poor
Jodhpur,2018-03-22,65.2,150.85,8.33,24.41,22.17,0.69,7.2,53.2,151.0,Moderate
Jodhpur,2018-03-23,76.66,193.5,16.02,39.4,33.16,1.15,6.24,75.16,194.0,Moderate
Jodhpur,2018-03-24,111.02,258.02,76.13,62.28,94.08,1.52,9.63,48.89,258.0,Poor
Jodhpur,2018-03-25,95.28,211.26,25.41,45.98,45.24,1.04,8.0,51.51,211.0,Poor
Jodhpur,2018-03-26,129.47,267.73,74.39,73.14,98.42,1.75,9.59,46.81,268.0,Poor
Jodhpur,2018-03-27,122.33,250.01,33.79,63.15,60.78,1.26,8.13,46.82,250.0,Poor
Jodhpur,2018-03-28,115.41,240.41,32.14,55.4,55.29,1.31,11.71,46.58,240.0,Poor
Jodhpur,2018-03-29,119.23,217.1,31.45,39.76,54.48,0.88,7.98,64.03,217.0,Poor
Jodhpur,2018-03-30,123.42,238.07,34.35,52.08,55.91,1.13,9.15,53.33,238.0,Poor
Jodhpur,2018-03-31,118.08,240.04,6.04,31.74,22.42,0.91,5.96,51.07,240.0,Poor
Jodhpur,2018-04-01,138.9,277.28,9.43,33.9,26.35,0.92,5.01,44.31,277.0,Poor
Jodhpur,2018-04-02,104.95,218.93,14.14,34.88,30.63,0.85,5.8,58.53,219.0,Poor
Jodhpur,2018-04-03,116.83,230.23,9.45,42.56,30.88,0.89,7.76,44.72,230.0,Poor
Jodhpur,2018-04-04,124.86,244.54,6.96,40.77,27.96,0.92,5.58,45.28,245.0,Poor
Jodhpur,2018-04-05,173.24,341.84,5.18,39.95,26.06,0.9,4.99,53.12,342.0,Very Poor
Jodhpur,2018-04-06,139.38,281.65,7.51,42.57,29.41,1.05,7.32,46.11,282.0,Poor
Jodhpur,2018-04-07,153.32,334.86,7.54,38.62,26.81,0.55,3.86,60.23,335.0,Very Poor
Jodhpur,2018-04-08,112.05,245.71,6.38,34.48,24.3,0.48,4.62,57.37,246.0,Poor
Jodhpur,2018-04-09,108.19,234.2,3.83,34.63,22.12,0.7,5.0,50.3,234.0,Poor
Jodhpur,2018-04-10,62.23,156.46,4.85,22.43,22.29,0.77,4.11,50.64,156.0,Moderate
Jodhpur,2018-04-11,289.85,267.55,10.72,28.51,20.59,0.68,5.08,56.11,290.0,Poor
Jodhpur,2018-04-12,108.63,241.31,9.19,23.19,17.89,0.84,9.02,67.18,241.0,Poor
Jodhpur,2018-04-13,95.54,227.88,11.66,39.7,28.55,0.82,8.29,49.78,228.0,Poor
Jodhpur,2018-04-14,99.64,227.64,15.45,34.98,29.11,1.02,8.69,47.59,228.0,Poor
Jodhpur,2018-04-15,118.32,255.68,8.78,25.31,18.66,0.92,9.47,49.35,256.0,Poor
Jodhpur,2018-04-16,112.27,242.53,8.46,21.11,16.19,0.65,8.47,40.71,243.0,Poor
Jodhpur,2018-04-17,98.83,212.58,5.27,17.35,13.98,0.73,6.89,74.81,213.0,Poor
Jodhpur,2018-04-18,116.7,265.69,14.81,45.78,36.47,0.82,7.21,51.98,266.0,Poor
Jodhpur,2018-04-19,109.16,248.53,5.51,20.95,16.12,0.57,6.16,73.55,249.0,Poor
Jodhpur,2018-04-20,156.96,387.07,9.64,9.14,13.33,0.81,6.52,62.08,387.0,Very Poor
