City,Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
Kanpur,2018-01-01,221.8,6.73,55.1,35.54,2.28,3.61,18.8,222.0,Poor
Kanpur,2018-01-02,282.3,44.08,70.23,74.79,2.08,6.25,20.26,282.0,Poor
Kanpur,2018-01-03,217.06,15.64,75.45,54.0,3.36,4.24,13.93,217.0,Poor
Kanpur,2018-01-04,358.67,53.87,78.38,87.35,2.4,7.07,18.16,359.0,Very Poor
Kanpur,2018-01-05,274.18,15.79,68.27,50.2,2.58,3.72,17.08,274.0,Poor
Kanpur,2018-01-06,298.33,73.35,109.9,153.01,2.27,9.23,17.04,298.0,Poor
Kanpur,2018-01-07,312.57,47.37,122.85,106.22,4.37,8.4,12.99,313.0,Very Poor
Kanpur,2018-01-08,255.85,81.78,101.01,123.71,2.89,8.29,22.44,256.0,Poor
Kanpur,2018-01-09,310.46,48.09,80.41,83.61,3.37,5.56,16.85,310.0,Very Poor
Kanpur,2018-01-10,322.72,41.99,101.37,89.98,3.88,11.02,18.0,323.0,Very Poor
Kanpur,2018-01-11,325.14,86.6,96.93,145.55,2.12,10.7,17.17,325.0,Very Poor
Kanpur,2018-01-12,316.85,20.16,81.61,61.1,3.42,4.94,17.04,317.0,Very Poor
Kanpur,2018-01-13,395.91,82.1,96.42,149.61,2.35,15.54,16.43,396.0,Very Poor
Kanpur,2018-01-14,396.35,117.6,127.48,166.89,2.67,16.9,14.32,396.0,Very Poor
Kanpur,2018-01-15,184.34,21.98,101.91,73.63,2.73,9.15,18.42,184.0,Moderate
Kanpur,2018-01-16,224.89,57.0,96.17,99.53,2.28,10.95,22.24,225.0,Poor
Kanpur,2018-01-17,233.11,20.55,84.6,63.04,2.85,5.52,20.21,233.0,Poor
Kanpur,2018-01-18,291.89,90.77,96.34,127.76,2.42,13.13,21.44,292.0,Poor
Kanpur,2018-01-19,245.11,93.19,124.78,145.23,3.26,13.49,13.36,245.0,Poor
Kanpur,2018-01-20,150.26,27.22,102.43,78.24,2.33,7.25,16.75,150.0,Moderate
Kanpur,2018-01-21,183.97,42.27,95.46,87.0,2.89,10.96,23.63,184.0,Moderate
Kanpur,2018-01-22,264.52,75.05,113.39,123.91,2.04,10.08,18.89,265.0,Poor
Kanpur,2018-01-23,176.33,15.54,89.64,61.61,1.96,5.57,22.15,176.0,Moderate
Kanpur,2018-01-24,128.44,9.07,66.44,43.64,1.74,5.77,21.93,128.0,Moderate
Kanpur,2018-01-25,202.26,12.07,69.3,47.69,2.2,8.51,18.17,202.0,Poor
Kanpur,2018-01-26,230.51,30.99,83.82,71.27,3.02,11.44,19.53,231.0,Poor
Kanpur,2018-01-27,223.96,18.55,76.85,57.18,3.23,7.49,18.39,224.0,Poor
Kanpur,2018-01-28,242.29,41.78,99.81,88.91,3.63,8.99,18.65,242.0,Poor
Kanpur,2018-01-29,241.26,39.56,101.13,87.79,2.81,10.84,18.12,241.0,Poor
Kanpur,2018-01-30,111.72,6.89,65.48,41.32,1.8,7.08,26.35,112.0,Moderate
Kanpur,2018-01-31,83.21,8.81,62.9,41.51,1.56,7.04,25.62,83.0,Satisfactory
Kanpur,2018-02-01,83.9,10.81,70.95,47.53,1.84,7.29,26.08,84.0,Satisfactory
Kanpur,2018-02-02,127.32,65.23,98.74,107.85,1.76,17.39,20.84,127.0,Moderate
Kanpur,2018-02-03,138.79,23.85,111.65,80.49,3.3,7.86,17.37,139.0,Moderate
Kanpur,2018-02-04,95.88,5.87,65.09,40.23,1.64,6.45,28.36,96.0,Satisfactory
Kanpur,2018-02-05,108.41,9.87,72.45,47.55,1.98,7.69,30.63,108.0,Moderate
Kanpur,2018-02-06,112.89,6.4,63.33,39.71,1.69,7.99,32.31,113.0,Moderate
Kanpur,2018-02-07,107.89,5.85,58.35,36.56,1.49,11.13,35.0,108.0,Moderate
Kanpur,2018-02-08,88.8,11.75,75.89,51.01,1.82,7.68,31.17,89.0,Satisfactory
Kanpur,2018-02-09,86.63,8.99,73.86,47.61,1.92,7.46,37.35,87.0,Satisfactory
Kanpur,2018-02-10,91.49,73.27,90.5,110.11,1.84,11.93,26.35,110.0,Moderate
Kanpur,2018-02-11,127.15,44.8,96.76,89.02,2.41,10.12,19.93,127.0,Moderate
Kanpur,2018-02-12,87.65,4.94,43.56,27.76,1.02,5.61,32.21,88.0,Satisfactory
Kanpur,2018-02-13,67.67,6.38,41.09,27.6,1.25,5.25,34.98,68.0,Satisfactory
Kanpur,2018-02-14,53.58,5.2,43.61,28.01,1.3,5.02,38.02,54.0,Satisfactory
Kanpur,2018-02-15,57.22,8.41,57.41,38.19,1.33,5.49,38.37,57.0,Satisfactory
Kanpur,2018-02-16,81.64,6.25,59.93,37.75,1.73,7.88,37.96,82.0,Satisfactory
Kanpur,2018-02-17,92.08,16.87,79.36,57.12,2.16,10.84,30.69,92.0,Satisfactory
