City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Kolkata,2018-04-10,34.38,57.0,3.26,40.97,45.29,2.52,1.0,25.46,30.99,57.0,Satisfactory
Kolkata,2018-04-11,29.0,50.87,3.26,34.03,45.29,3.59,0.98,10.32,30.99,73.0,Satisfactory
Kolkata,2018-04-12,21.7,43.04,3.49,39.49,42.54,3.77,0.73,10.255263157894737,43.72,60.0,Satisfactory
Kolkata,2018-04-13,23.09,46.49,3.69,33.03,36.72,3.88,0.98,10.190526315789475,41.65,74.0,Satisfactory
Kolkata,2018-04-14,21.56,42.1,2.81,26.62,29.43,4.22,1.0,10.125789473684211,44.07,83.0,Satisfactory
Kolkata,2018-04-15,30.28,54.89,2.49,43.03,45.52,2.87,0.81,10.061052631578947,63.88,95.0,Satisfactory
Kolkata,2018-04-16,26.72,51.27,2.63,28.94,31.56,3.7,1.11,9.996315789473684,49.57,88.0,Satisfactory
Kolkata,2018-04-17,24.37,40.66,6.12,32.93,39.05,2.12,1.15,9.931578947368422,36.86,69.0,Satisfactory
Kolkata,2018-04-18,23.8775,40.248749999999994,3.74,31.44,35.18,24.86,1.09,9.866842105263158,31.63,40.0,Good
Kolkata,2018-04-19,23.385,39.8375,4.11,29.44,33.55,15.31,1.17,9.802105263157895,26.67,40.0,Good
Kolkata,2018-04-20,22.892500000000002,39.426249999999996,4.32,25.24,29.56,12.04,1.16,9.737368421052631,26.16,39.0,Good
Kolkata,2018-04-21,22.400000000000002,39.015,3.3,26.3,29.59,9.56,1.13,9.67263157894737,26.17,39.0,Good
Kolkata,2018-04-22,21.9075,38.60375,3.03,29.27,32.3,9.59,1.09,9.607894736842105,27.77,39.0,Good
Kolkata,2018-04-23,21.415,38.192499999999995,3.17,34.2,37.37,10.51,1.11,9.543157894736842,30.89,38.0,Good
Kolkata,2018-04-24,20.9225,37.78125,11.32,52.42,63.74,14.19,1.01,9.47842105263158,46.25,64.0,Satisfactory
Kolkata,2018-04-25,20.43,37.37,2.6,26.61,29.2,12.62,0.74,9.413684210526316,41.77,42.0,Good
Kolkata,2018-04-26,19.9375,36.958749999999995,3.05,24.11,27.16,12.12,0.7279166666666667,9.348947368421053,41.49787878787879,41.0,Good
Kolkata,2018-04-27,19.445,36.5475,3.26,45.2,48.46,11.46,0.7158333333333333,9.284210526315789,41.22575757575758,48.0,Good
Kolkata,2018-04-28,18.9525,36.13625,3.34,51.58,54.91,13.83,0.70375,9.219473684210527,40.95363636363636,55.0,Satisfactory
Kolkata,2018-04-29,18.46,35.724999999999994,2.75,21.8,24.55,12.3,0.6916666666666667,9.154736842105264,40.68151515151516,41.0,Good
Kolkata,2018-04-30,17.9675,35.31375,2.89,26.65,29.54,11.43,0.6795833333333333,9.09,40.409393939393944,40.0,Good
Kolkata,2018-05-01,17.475,34.902499999999996,2.63,32.56,35.18,13.59,0.6675,9.025263157894738,40.13727272727273,40.0,Good
Kolkata,2018-05-02,16.9825,34.49125,2.38,32.6,34.97,12.08,0.6554166666666666,8.960526315789474,39.86515151515152,40.0,Good
