City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Lucknow,2015-01-01,742.67,34.17,2.11,13.46,4.57,8.91,12.15,169.57,25.92,743.0,Severe
Lucknow,2015-01-02,742.67,34.17,2.37,10.76,3.8,8.91,14.0,169.46,21.66,743.0,Severe
Lucknow,2015-01-03,742.67,34.17,2.27,12.43,4.22,8.91,12.78,169.77,22.4,743.0,Severe
Lucknow,2015-01-04,742.67,34.17,2.24,12.46,4.22,8.91,11.85,169.56,21.41,743.0,Severe
Lucknow,2015-01-05,742.67,34.17,2.32,12.27,4.22,8.91,13.34,169.48,20.6,743.0,Severe
Lucknow,2015-01-06,742.67,34.17,2.33,12.91,4.3,8.91,14.21,178.63,21.49,743.0,Severe
Lucknow,2015-01-07,742.67,34.17,2.68,17.12,4.64,8.91,11.24,169.0,23.67,743.0,Severe
Lucknow,2015-01-08,742.67,34.17,4.19,24.45,3.97,8.91,12.68,169.0,19.69,743.0,Severe
Lucknow,2015-01-09,742.67,34.17,4.27,24.74,3.13,8.91,13.99,182.39,21.73,743.0,Severe
Lucknow,2015-01-10,742.67,34.17,4.02,20.67,4.05,8.91,14.06,174.58,27.36,743.0,Severe
Lucknow,2015-01-11,742.67,34.17,3.53,18.77,4.22,8.91,15.69,178.93,27.51,743.0,Severe
Lucknow,2015-01-12,742.67,34.17,3.09,17.52,4.22,8.91,16.47,176.44,26.69,743.0,Severe
Lucknow,2015-01-13,742.67,34.17,3.39,15.84,5.15,8.91,11.81,187.02,30.22,743.0,Severe
Lucknow,2015-01-14,742.67,34.17,2.89,15.26,4.7,8.91,12.86,42.93,34.77,743.0,Severe
Lucknow,2015-01-15,742.67,34.17,2.44,8.73,5.06,8.91,11.83,57.910000000000004,36.26,743.0,Severe
Lucknow,2015-01-16,742.67,34.17,1.78,8.72,3.47,8.91,12.02,72.89,47.81,743.0,Severe
Lucknow,2015-01-17,742.67,34.17,2.15,5.4,4.3,8.91,10.27,87.87,34.72,743.0,Severe
Lucknow,2015-01-18,742.67,34.17,1.99,4.89,4.72,8.91,9.54,98.648,26.07,743.0,Severe
Lucknow,2015-01-19,742.67,34.17,3.38,8.14,4.22,8.91,13.28,109.426,31.2,743.0,Severe
Lucknow,2015-01-20,742.67,34.17,4.07,11.63,4.22,8.91,14.09,120.204,33.76,743.0,Severe
Lucknow,2015-01-21,742.67,34.17,16.81,19.67,4.22,8.91,13.49,130.982,25.41,743.0,Severe
Lucknow,2015-01-22,742.67,34.17,13.04,17.07,3.72,8.91,8.3,141.76,34.07,743.0,Severe
Lucknow,2015-01-23,742.67,34.17,5.72,15.33,3.3,8.91,8.56,134.596,49.69,743.0,Severe
Lucknow,2015-01-24,742.67,34.17,4.61,12.79,3.8,8.91,6.83,127.43199999999999,45.87,743.0,Severe
Lucknow,2015-01-25,742.67,34.17,3.78,10.64,3.05,8.91,12.66,120.268,58.79,743.0,Severe
Lucknow,2015-01-26,742.67,34.17,6.83,13.62,4.05,8.91,9.29,113.104,33.98,743.0,Severe
Lucknow,2015-01-27,742.67,34.17,6.68,20.12,3.61,8.91,9.94,105.94,31.3,743.0,Severe
Lucknow,2015-01-28,742.67,34.17,3.06,28.51,3.13,8.91,7.78,98.776,47.82,743.0,Severe
Lucknow,2015-01-29,742.67,34.17,2.42,21.54,2.21,8.91,12.85,91.612,56.81,743.0,Severe
Lucknow,2015-01-30,742.67,34.17,2.36,16.56,2.21,8.91,14.92,84.44800000000001,57.77,743.0,Severe
Lucknow,2015-01-31,742.67,34.17,6.4,18.36,3.96,8.91,11.48,77.284,43.57,743.0,Severe
Lucknow,2015-02-01,742.67,34.17,7.43,20.19,4.3,8.91,13.58,70.12,33.27,743.0,Severe
Lucknow,2015-02-02,742.67,34.17,3.08,18.3,3.13,8.91,15.41,77.06555555555556,46.3,743.0,Severe
Lucknow,2015-02-03,742.67,34.17,3.71,14.16,4.14,8.91,15.62,84.01111111111112,35.58,743.0,Severe
Lucknow,2015-02-04,742.67,34.17,4.32,13.12,3.13,8.91,13.67,90.95666666666666,33.45,743.0,Severe
Lucknow,2015-02-05,742.67,34.17,3.55,14.52,4.47,8.91,11.85,97.90222222222222,29.48,743.0,Severe
Lucknow,2015-02-06,742.67,34.17,3.22,19.2,4.04,8.91,11.35,104.84777777777778,48.74,743.0,Severe
Lucknow,2015-02-07,742.67,34.17,10.55,31.35,5.15,8.91,13.95,111.79333333333332,35.46,743.0,Severe
Lucknow,2015-02-08,742.67,34.17,7.23,33.06,4.22,8.91,14.63,118.73888888888888,27.08,743.0,Severe
Lucknow,2015-02-09,742.67,34.17,5.69,33.45,4.22,8.91,17.17,125.68444444444444,34.11,743.0,Severe
Lucknow,2015-02-10,742.67,34.17,4.28,17.01,4.22,8.91,11.44,132.63,39.29,743.0,Severe
Lucknow,2015-02-11,742.67,34.17,6.41,28.63,4.22,8.91,16.55,179.18,42.61,743.0,Severe
Lucknow,2015-02-12,742.67,34.17,6.18,33.18,4.14,8.91,14.85,103.59,41.16,743.0,Severe
Lucknow,2015-02-13,742.67,34.17,3.63,16.65,6.06,8.91,7.77,180.85,39.1,743.0,Severe
Lucknow,2015-02-14,742.67,34.17,6.27,35.7,4.46,8.91,17.62,170.04,29.49,743.0,Severe
Lucknow,2015-02-15,742.67,34.17,3.3,21.52,4.05,8.91,14.7,159.23,43.28,743.0,Severe
Lucknow,2015-02-16,742.67,34.17,4.27,26.65,4.22,8.91,16.0,106.44,32.19,743.0,Severe
Lucknow,2015-02-17,742.67,34.17,4.05,25.15,4.22,8.91,12.28,82.53,27.74,743.0,Severe
Lucknow,2015-02-18,742.67,34.17,4.38,28.35,4.22,8.91,11.87,58.62,30.65,743.0,Severe
Lucknow,2015-02-19,742.67,34.17,4.5,29.61,4.47,8.91,16.37,113.63,25.96,743.0,Severe
Lucknow,2015-02-20,742.67,34.17,4.33,18.41,5.14,8.91,5.26,114.76299999999999,16.19,743.0,Severe
Lucknow,2015-02-21,742.67,34.17,4.61,26.09,3.61,8.91,12.09,115.896,27.47,743.0,Severe
Lucknow,2015-02-22,742.67,34.17,4.26,20.97,4.22,8.91,11.84,117.029,28.7,743.0,Severe
Lucknow,2015-02-23,742.67,34.17,5.42,27.46,4.22,8.91,16.84,118.16199999999999,23.22,743.0,Severe
Lucknow,2015-02-24,742.67,34.17,6.31,28.73,4.22,8.91,12.48,119.29499999999999,22.18,743.0,Severe
Lucknow,2015-02-25,742.67,34.17,6.59,18.02,4.72,8.91,13.42,120.428,18.1,743.0,Severe
Lucknow,2015-02-26,742.67,34.17,4.59,10.35,6.24,8.91,6.12,121.56099999999999,11.27,743.0,Severe
Lucknow,2015-02-27,742.67,34.17,7.11,11.42,6.24,8.91,17.65,122.69399999999999,11.22,743.0,Severe
Lucknow,2015-02-28,742.67,34.17,7.26,13.83,5.4,8.91,11.21,123.827,15.43,743.0,Severe
Lucknow,2015-03-01,742.67,34.17,7.85,16.82,4.39,8.91,10.28,124.96,15.09,743.0,Severe
Lucknow,2015-03-02,742.67,34.17,11.15,27.26,6.16,8.91,12.16,130.99285714285713,10.79,743.0,Severe
Lucknow,2015-03-03,742.67,34.17,9.09,21.85,4.81,8.91,9.62,137.0257142857143,16.56,743.0,Severe
Lucknow,2015-03-04,742.67,34.17,8.02,12.38,3.55,8.91,10.53,143.05857142857144,24.78,743.0,Severe
Lucknow,2015-03-05,742.67,34.17,10.04,20.08,4.37,8.91,11.83,149.09142857142857,27.25,743.0,Severe
Lucknow,2015-03-06,742.67,34.17,9.78,19.54,4.99,8.91,11.58,155.12428571428572,28.29,743.0,Severe
Lucknow,2015-03-07,742.67,34.17,13.33,21.08,4.22,8.91,11.55,161.15714285714284,26.71,743.0,Severe
Lucknow,2015-03-08,742.67,34.17,10.8,19.58,4.39,8.91,12.21,167.19,22.09,743.0,Severe
