City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Mumbai,2015-01-01,25.5,58.53,123.26,8.94,27.38,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-02,25.5,58.53,123.26,8.94,26.2,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-03,25.5,58.53,123.26,8.94,26.04,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-04,25.5,58.53,123.26,8.94,25.97,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-05,25.5,58.53,123.26,8.94,25.18,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-06,25.5,58.53,123.26,8.94,26.41,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-07,25.5,58.53,123.26,8.94,27.08,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-08,25.5,58.53,123.26,8.94,27.48,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-09,25.5,58.53,123.26,8.94,27.22,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-10,25.5,58.53,123.26,8.94,28.03,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-11,25.5,58.53,123.26,8.94,27.57,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-12,25.5,58.53,123.26,8.94,28.44,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-13,25.5,58.53,123.26,8.94,29.15,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-14,25.5,58.53,123.26,8.94,28.59,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-15,25.5,58.53,123.26,8.94,27.83,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-16,25.5,58.53,123.26,8.94,27.1,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-17,25.5,58.53,123.26,8.94,27.21,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-18,25.5,58.53,123.26,8.94,27.89,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-19,25.5,58.53,123.26,8.94,26.78,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-20,25.5,58.53,123.26,8.94,25.39,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-21,25.5,58.53,123.26,8.94,25.04,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-22,25.5,58.53,123.26,8.94,24.28,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-23,25.5,58.53,123.26,8.94,26.51,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-24,25.5,58.53,123.26,8.94,26.59,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-25,25.5,58.53,123.26,8.94,26.27,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-26,25.5,58.53,123.26,8.94,26.86,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-27,25.5,58.53,123.26,8.94,27.26,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-28,25.5,58.53,123.26,8.94,26.45,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-29,25.5,58.53,123.26,8.94,26.3,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-30,25.5,58.53,123.26,8.94,25.64,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-01-31,25.5,58.53,123.26,8.94,27.34,7.21,0.28,193.86,17.24,194.0,Moderate
Mumbai,2015-02-01,25.5,58.53,123.26,8.94,27.25,7.21,0.28,193.86,17.24,194.0,Moderate
