City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Nagpur,2017-01-01,125.88,174.78,47.83,35.77,57.14,4.78,2.58,9.95,49.51,175.0,Moderate
Nagpur,2017-01-02,76.01,110.53,13.06,20.17,21.0,4.78,1.11,5.91,58.42,111.0,Moderate
Nagpur,2017-01-03,91.9,132.15,34.24,28.68,42.44,4.78,2.43,38.39,56.41,132.0,Moderate
Nagpur,2017-01-04,111.85,161.89,32.69,30.77,42.96,4.78,2.55,9.58,49.83,162.0,Moderate
Nagpur,2017-01-05,119.42,170.48,38.23,43.0,53.5,4.78,2.51,12.77,49.59,170.0,Moderate
Nagpur,2017-01-06,114.27,168.27,45.32,41.4,58.51,4.78,2.21,21.38,41.6,168.0,Moderate
Nagpur,2017-01-07,87.62,139.93,32.58,38.64,46.49,4.78,2.41,16.1,38.03,140.0,Moderate
Nagpur,2017-01-08,89.31,125.23,16.35,28.44,27.97,4.78,1.76,7.4,46.02,125.0,Moderate
Nagpur,2017-01-09,90.53,140.27,15.9,31.55,29.32,4.78,2.06,11.01,32.9,140.0,Moderate
Nagpur,2017-01-10,90.94,111.72,5.77,17.96,13.98,4.78,1.24,40.33,48.98,112.0,Moderate
Nagpur,2017-01-11,81.11,118.74,23.41,22.52,30.54,4.78,1.7,20.23,59.86,119.0,Moderate
Nagpur,2017-01-12,76.63,113.62,28.81,29.63,38.61,4.78,2.05,23.31,63.21,114.0,Moderate
Nagpur,2017-01-13,77.64,121.97,34.63,32.35,45.16,4.78,1.98,33.51,55.26,122.0,Moderate
Nagpur,2017-01-14,70.26,103.14,20.35,28.2,31.18,4.78,1.66,12.87,74.57,103.0,Moderate
Nagpur,2017-01-15,106.11,155.64,23.65,33.56,36.76,4.78,2.12,12.57,61.48,156.0,Moderate
Nagpur,2017-01-16,106.51,161.02,38.64,38.75,51.41,4.78,2.76,13.86,49.27,161.0,Moderate
Nagpur,2017-01-17,106.85,163.25,48.5,46.48,63.91,4.78,3.02,16.38,37.66,163.0,Moderate
Nagpur,2017-01-18,96.76,145.28,24.51,38.13,39.58,4.78,2.18,13.49,47.37,145.0,Moderate
Nagpur,2017-01-19,250.5,156.39,32.87,35.62,45.22,4.78,2.84,13.61,53.63,250.0,Poor
Nagpur,2017-01-20,119.94,170.46,57.25,30.46,62.02,4.78,2.64,16.17,56.46,170.0,Moderate
Nagpur,2017-01-21,112.17,163.81,43.5,27.87,49.5,4.78,2.62,19.52,66.14,164.0,Moderate
Nagpur,2017-01-22,95.07,143.54,25.95,23.96,33.41,4.78,1.69,24.87,61.42,144.0,Moderate
Nagpur,2017-01-23,89.38,131.32,34.9,32.11,45.55,4.78,2.59,27.5,63.92,131.0,Moderate
Nagpur,2017-01-24,98.04,145.06,31.45,35.03,43.95,4.78,2.49,19.93,51.46,145.0,Moderate
Nagpur,2017-01-25,106.12,164.5,53.83,38.28,63.98,4.78,3.33,19.59,50.37,164.0,Moderate
Nagpur,2017-01-26,111.66,169.57,33.59,34.77,45.11,4.78,2.44,15.51,52.5,170.0,Moderate
Nagpur,2017-01-27,99.39,141.34,10.63,20.9,19.35,4.78,1.32,12.28,60.81,141.0,Moderate
Nagpur,2017-01-28,56.11,88.33,17.03,18.5,23.16,4.78,1.42,70.56,52.69,88.0,Satisfactory
Nagpur,2017-01-29,57.99,91.64,23.0,23.45,30.93,4.78,1.91,15.16,66.59,92.0,Satisfactory
Nagpur,2017-01-30,81.8,135.11,32.58,34.3,44.42,4.78,2.54,26.3,56.07,135.0,Moderate
Nagpur,2017-01-31,81.55,137.43,36.68,33.57,47.25,4.78,2.33,21.22,60.15,137.0,Moderate
Nagpur,2017-02-01,75.25,123.09,28.55,28.41,37.71,4.78,2.09,26.66,61.87,123.0,Moderate
Nagpur,2017-02-02,79.45,133.92,46.01,27.12,51.09,4.78,2.23,22.72,62.59,134.0,Moderate
Nagpur,2017-02-03,82.74,136.66,251.57,51.56,298.22,4.78,1.69,30.22,69.44,298.0,Poor
Nagpur,2017-02-04,83.44,144.79,169.45,230.72,338.96,4.78,1.92,14.63,74.0,339.0,Very Poor
Nagpur,2017-02-05,87.94,146.33,27.21,9.29,25.29,4.78,1.7,16.37,67.11,146.0,Moderate
Nagpur,2017-02-06,79.6,141.16,73.63,15.09,76.47,4.78,1.45,14.95,66.47,141.0,Moderate
Nagpur,2017-02-07,61.37,118.43,26.1,14.18,24.79,4.78,1.6,8.27,62.21,118.0,Moderate
Nagpur,2017-02-08,80.63,144.81,128.77,159.94,93.23,4.78,1.97,14.89,73.32,160.0,Moderate
Nagpur,2017-02-09,86.85,152.95,113.99,20.1,58.53,4.78,1.68,19.7,57.68,153.0,Moderate
Nagpur,2017-02-10,66.78,132.23,113.78,62.62,143.47,4.78,1.34,31.03,94.56,143.0,Moderate
Nagpur,2017-02-11,76.01,134.1,26.96,15.47,33.23,4.78,1.13,14.33,99.93,134.0,Moderate
Nagpur,2017-02-12,43.73,74.4,21.99,15.44,29.88,4.78,0.82,11.9,103.88,104.0,Moderate
Nagpur,2017-02-13,80.23,150.94,160.61,158.42,176.17,4.78,2.34,22.1,70.53,176.0,Moderate
Nagpur,2017-02-14,99.65,163.88,58.49,43.38,84.38,4.78,2.17,15.0,62.11,164.0,Moderate
Nagpur,2017-02-15,86.46,135.17,79.59,57.8,86.71,4.78,1.5,24.56,78.89,135.0,Moderate
Nagpur,2017-02-16,69.84,122.82,109.25,88.81,153.32,4.78,2.13,22.73,56.86,153.0,Moderate
Nagpur,2017-02-17,63.59,118.7,30.45,23.49,40.79,4.78,1.97,16.77,54.5,119.0,Moderate
