City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Patna,2015-06-01,100.96,158.08,14.41,25.06,39.32,49.8,1.56,1.8,8.89,158.0,Moderate
Patna,2015-06-02,100.96,158.08,25.0,22.48,47.5,49.8,2.35,9.69,9.9,158.0,Moderate
Patna,2015-06-03,100.96,158.08,14.29,17.16,29.81,49.8,1.69,20.61,12.63,158.0,Moderate
Patna,2015-06-04,100.96,158.08,13.03,15.62,28.63,49.8,1.2,4.35,9.77,158.0,Moderate
Patna,2015-06-05,100.96,158.08,10.4,10.36,20.14,49.8,1.29,7.22,11.9,158.0,Moderate
Patna,2015-06-06,100.96,158.08,21.02,18.56,38.88,49.8,1.44,11.02,11.24,158.0,Moderate
Patna,2015-06-07,100.96,158.08,20.35,27.97,48.2,49.8,1.42,5.36,10.63,158.0,Moderate
Patna,2015-06-08,100.96,158.08,23.38,29.72,53.29,49.8,1.33,4.53,10.81,158.0,Moderate
Patna,2015-06-09,100.96,158.08,26.99,28.6,55.47,49.8,1.7,10.42,11.39,158.0,Moderate
Patna,2015-06-10,100.96,158.08,23.36,20.42,43.24,49.8,2.28,17.55,9.75,158.0,Moderate
Patna,2015-06-11,100.96,158.08,12.19,18.38,30.39,49.8,1.08,5.69,14.71,158.0,Moderate
Patna,2015-06-12,100.96,158.08,10.67,17.14,27.13,49.8,1.0,5.83,12.91,158.0,Moderate
Patna,2015-06-13,100.96,158.08,3.74,16.58,19.57,49.8,0.44,1.74,23.05,158.0,Moderate
Patna,2015-06-14,100.96,158.08,5.44,19.71,24.84,49.8,0.59,1.56,13.25,158.0,Moderate
Patna,2015-06-15,100.96,158.08,14.37,22.41,35.88,49.8,1.38,5.3,14.47,158.0,Moderate
Patna,2015-06-16,100.96,158.08,8.25,17.15,24.85,49.8,1.53,2.22,11.69,158.0,Moderate
Patna,2015-06-17,100.96,158.08,27.52,22.37,48.96,49.8,1.99,17.51,26.55,158.0,Moderate
Patna,2015-06-18,100.96,158.08,32.22,17.95,49.64,49.8,1.71,12.88,36.26,158.0,Moderate
Patna,2015-06-19,100.96,158.08,24.47,17.43,42.03,49.8,1.34,5.53,8.02,158.0,Moderate
Patna,2015-06-20,100.96,158.08,17.33,12.65,29.82,49.8,1.12,7.12,6.87,158.0,Moderate
Patna,2015-06-21,100.96,158.08,17.2,11.84,29.1,49.8,1.13,6.31,7.35,158.0,Moderate
Patna,2015-06-22,100.96,158.08,30.72,12.45,42.94,49.8,2.1,8.39,17.44,158.0,Moderate
Patna,2015-06-23,100.96,158.08,33.96,11.31,45.97,49.8,1.44,8.08,9.2,158.0,Moderate
Patna,2015-06-24,100.96,158.08,35.74,20.67,56.06,49.8,3.04,18.69,15.72,158.0,Moderate
Patna,2015-06-25,100.96,158.08,7.53,9.67,16.86,49.8,0.62,4.41,10.98,158.0,Moderate
Patna,2015-06-26,100.96,158.08,15.62,16.48,32.08,49.8,0.92,7.98,13.38,158.0,Moderate
Patna,2015-06-27,100.96,158.08,34.79,18.11,52.79,49.8,1.92,6.51,12.13,158.0,Moderate
Patna,2015-06-28,100.96,158.08,13.08,14.6,26.15,49.8,0.53,2.79,9.49,158.0,Moderate
Patna,2015-06-29,100.96,158.08,30.27,22.39,51.99,49.8,1.57,4.18,12.77,158.0,Moderate
Patna,2015-06-30,100.96,158.08,17.85,21.23,38.93,49.8,1.75,7.87,9.97,158.0,Moderate
Patna,2015-07-01,100.96,158.08,11.88,14.58,25.8,49.8,1.07,1.15,12.31,158.0,Moderate
Patna,2015-07-02,100.96,158.08,7.17,14.32,21.45,49.8,0.74,0.92,12.19,158.0,Moderate
Patna,2015-07-03,100.96,158.08,13.19,14.73,27.87,49.8,1.23,5.62,12.28,158.0,Moderate
Patna,2015-07-04,100.96,158.08,14.19,15.31,29.45,49.8,1.32,5.31,11.95,158.0,Moderate
Patna,2015-07-05,100.96,158.08,11.59,10.86,24.26,49.8,1.1,5.12,12.64,158.0,Moderate
Patna,2015-07-06,100.96,158.08,26.97,16.58,46.45,49.8,2.52,12.11,13.04,158.0,Moderate
Patna,2015-07-07,100.96,158.08,21.77,12.16,34.78,49.8,1.8,9.63,14.64,158.0,Moderate
Patna,2015-07-08,100.96,158.08,21.41,10.1,31.4,49.8,1.35,5.97,12.53,158.0,Moderate
Patna,2015-07-09,100.96,158.08,24.96,10.16,35.06,49.8,1.35,6.31,12.26,158.0,Moderate
Patna,2015-07-10,100.96,158.08,22.02,7.55,30.91,49.8,3.91,17.68,9.96,158.0,Moderate
Patna,2015-07-11,100.96,158.08,14.63,8.74,23.55,49.8,2.02,14.23,9.97,158.0,Moderate
Patna,2015-07-12,100.96,158.08,15.01,6.82,21.9,49.8,2.1,14.94,9.52,158.0,Moderate
Patna,2015-07-13,100.96,158.08,16.59,19.81,34.55,49.8,1.94,23.57,10.37,158.0,Moderate
Patna,2015-07-14,100.96,158.08,27.16,19.86,45.96,49.8,2.53,9.61,14.5,158.0,Moderate
Patna,2015-07-15,100.96,158.08,8.48,18.81,27.11,49.8,1.03,0.57,12.03,158.0,Moderate
Patna,2015-07-16,100.96,158.08,42.75,22.63,64.99,49.8,2.18,16.13,12.46,158.0,Moderate
Patna,2015-07-17,100.96,158.08,24.5,13.9,38.27,49.8,2.1,13.17,11.71,158.0,Moderate
Patna,2015-07-18,100.96,158.08,14.25,14.27,28.49,49.8,2.09,0.97,12.37,158.0,Moderate
Patna,2015-07-19,100.96,158.08,13.86,11.5,25.23,49.8,2.01,0.92,12.55,158.0,Moderate
Patna,2015-07-20,100.96,158.08,20.77,13.13,33.85,49.8,2.25,1.13,12.67,158.0,Moderate
Patna,2015-07-21,100.96,158.08,17.62,11.94,29.48,49.8,2.03,4.24,10.33,158.0,Moderate
Patna,2015-07-22,100.96,158.08,34.66,13.51,47.99,49.8,3.01,4.43,7.8,158.0,Moderate
Patna,2015-07-23,100.96,158.08,35.96,16.57,52.36,49.8,1.78,2.51,5.93,158.0,Moderate
Patna,2015-07-24,100.96,158.08,23.98,15.2,39.1,49.8,1.69,10.42,5.78,158.0,Moderate
Patna,2015-07-25,100.96,158.08,18.94,14.1,32.97,49.8,1.82,2.63,6.06,158.0,Moderate
