City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
Pune,2017-01-01,73.31,115.43,34.83,40.56,29.69,0.55,20.08,37.86,115.0,Moderate
Pune,2017-01-02,64.95,125.19,19.18,26.11,29.69,0.91,11.05,20.85,125.0,Moderate
Pune,2017-01-03,67.82,113.36,19.71,26.59,29.69,0.79,11.35,21.42,113.0,Moderate
Pune,2017-01-04,66.7,123.16,14.82,22.07,29.69,0.87,8.54,16.11,123.0,Moderate
Pune,2017-01-05,67.11,110.37,22.25,28.84,29.69,0.72,12.8,24.19,110.0,Moderate
Pune,2017-01-06,49.07,101.98,32.0,37.95,29.69,0.35,18.45,34.79,102.0,Moderate
Pune,2017-01-07,39.44,79.54,26.15,32.54,29.69,0.21,15.06,28.42,80.0,Satisfactory
Pune,2017-01-08,39.2,77.0,32.12,38.05,29.69,0.2,18.51,34.91,77.0,Satisfactory
Pune,2017-01-09,37.59,76.17,23.16,29.78,29.69,0.18,13.34,25.18,76.0,Satisfactory
Pune,2017-01-10,53.19,87.34,20.43,27.26,29.69,0.46,11.77,22.21,87.0,Satisfactory
Pune,2017-01-11,56.02,91.03,17.46,24.51,29.69,0.4,10.06,18.98,91.0,Satisfactory
Pune,2017-01-12,57.26,83.67,21.98,28.69,29.69,0.45,12.67,23.9,84.0,Satisfactory
Pune,2017-01-13,118.69,93.96,20.69,27.49,29.69,0.63,11.92,22.48,119.0,Moderate
Pune,2017-01-14,81.8,109.06,14.9,22.03,29.69,0.47,8.59,16.19,109.0,Moderate
Pune,2017-01-15,65.32,88.68,24.03,30.58,29.69,0.33,13.84,26.12,89.0,Satisfactory
Pune,2017-01-16,59.49,95.49,21.29,28.04,29.69,0.24,12.28,23.15,95.0,Satisfactory
Pune,2017-01-17,59.2,94.81,25.21,31.67,29.69,0.36,14.52,27.4,95.0,Satisfactory
Pune,2017-01-18,60.99,90.88,22.51,29.18,29.69,0.32,12.97,24.47,91.0,Satisfactory
Pune,2017-01-19,71.4,100.26,16.1,23.26,29.69,0.52,9.28,17.5,100.0,Satisfactory
Pune,2017-01-20,67.2,101.88,14.56,21.83,29.69,0.41,8.39,15.82,102.0,Moderate
Pune,2017-01-21,71.81,107.83,13.89,21.1,29.69,0.55,8.02,15.1,108.0,Moderate
Pune,2017-01-22,61.61,83.09,20.27,27.11,29.69,0.42,11.68,22.04,83.0,Satisfactory
Pune,2017-01-23,60.99,94.18,14.49,21.76,29.69,0.61,8.35,15.75,94.0,Satisfactory
Pune,2017-01-24,72.43,110.1,13.14,20.52,29.69,0.7,7.57,14.29,110.0,Moderate
Pune,2017-01-25,86.43,114.37,13.57,20.91,29.69,0.77,7.82,14.75,114.0,Moderate
Pune,2017-01-26,71.63,100.6,32.4,38.32,29.69,0.35,18.68,35.22,101.0,Moderate
Pune,2017-01-27,58.07,86.41,19.55,26.45,29.69,0.48,11.26,21.25,86.0,Satisfactory
Pune,2017-01-28,69.81,102.15,14.49,21.76,29.69,0.64,8.35,15.75,102.0,Moderate
Pune,2017-01-29,123.79,186.05,24.53,31.05,29.69,0.62,14.13,26.67,186.0,Moderate
Pune,2017-01-30,80.67,107.92,20.3,27.14,29.69,0.77,11.69,22.07,108.0,Moderate
Pune,2017-01-31,61.24,87.25,32.08,38.02,29.69,0.55,18.48,34.87,87.0,Satisfactory
