City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Thiruvananthapuram,2017-06-16,38.0,10.0,2.7,7.1,6.2,2.97,0.71,4.1,18.3,38.0,Good
Thiruvananthapuram,2017-06-17,33.333333333333336,18.666666666666664,2.0333333333333337,6.466666666666667,5.233333333333333,2.97,0.7166666666666667,4.233333333333333,18.566666666666666,33.0,Good
Thiruvananthapuram,2017-06-18,28.666666666666664,27.333333333333332,1.366666666666667,5.833333333333333,4.266666666666667,2.97,0.7233333333333333,4.366666666666666,18.833333333333336,29.0,Good
Thiruvananthapuram,2017-06-19,24.0,36.0,0.7,5.2,3.3,2.97,0.73,4.5,19.1,36.0,Good
Thiruvananthapuram,2017-06-20,24.0,36.0,0.7,5.2,3.3,2.97,0.73,4.5,19.1,36.0,Good
Thiruvananthapuram,2017-06-21,24.0,36.0,0.7,5.2,3.3,2.97,0.73,4.5,19.1,36.0,Good
Thiruvananthapuram,2017-06-22,16.25,37.12,2.36,7.97,6.17,2.97,0.84,3.47,15.48,37.0,Good
Thiruvananthapuram,2017-06-23,15.08,31.09,1.94,5.8,4.65,2.97,0.71,4.65,17.54,47.0,Good
Thiruvananthapuram,2017-06-24,11.15,22.15,1.87,6.07,4.69,2.97,0.6,4.12,16.65,44.0,Good
Thiruvananthapuram,2017-06-25,12.25,23.53,1.88,5.22,4.29,2.97,0.56,3.83,18.7,38.0,Good
Thiruvananthapuram,2017-06-26,10.06,22.58,1.98,4.74,4.13,2.97,0.47,3.73,19.53,37.0,Good
Thiruvananthapuram,2017-06-27,13.03,21.61,1.9,6.64,5.03,2.97,0.64,4.0,14.46,46.0,Good
Thiruvananthapuram,2017-06-28,14.19,31.38,1.89,6.95,5.22,2.97,0.64,4.59,15.22,45.0,Good
Thiruvananthapuram,2017-06-29,15.81,38.45,1.93,5.13,4.3,2.97,0.57,3.77,15.44,48.0,Good
Thiruvananthapuram,2017-06-30,14.91,36.71,1.89,5.98,4.71,2.97,0.56,3.28,16.46,45.0,Good
Thiruvananthapuram,2017-07-01,14.69,39.71,2.05,4.08,3.84,2.97,0.68,3.34,13.63,49.0,Good
Thiruvananthapuram,2017-07-02,10.59,27.62,2.14,1.58,2.57,2.97,0.57,4.14,14.29,39.0,Good
Thiruvananthapuram,2017-07-03,10.4,22.56,2.05,3.45,3.51,2.97,0.65,4.6,21.13,39.0,Good
Thiruvananthapuram,2017-07-04,19.2,43.69,2.02,6.88,5.3,2.97,0.66,3.86,19.87,40.0,Good
Thiruvananthapuram,2017-07-05,22.43,68.32,1.88,5.41,4.38,2.97,0.7,3.49,19.37,60.0,Satisfactory
Thiruvananthapuram,2017-07-06,19.08,55.04,1.9,4.62,3.99,2.97,0.59,3.18,18.33,63.0,Satisfactory
Thiruvananthapuram,2017-07-07,18.61,49.78,1.9,5.92,4.69,2.97,0.65,3.9,16.48,52.0,Satisfactory
Thiruvananthapuram,2017-07-08,33.78,47.71,1.83,8.49,6.0,2.97,0.75,3.98,16.13,54.0,Satisfactory
Thiruvananthapuram,2017-07-09,14.47,31.62,1.93,5.13,4.3,2.97,0.53,3.57,18.74,53.0,Satisfactory
Thiruvananthapuram,2017-07-10,15.94,31.78,1.92,7.1,5.31,2.97,0.68,4.36,17.31,47.0,Good
Thiruvananthapuram,2017-07-11,8.74,18.65,1.84,5.09,4.21,2.97,0.53,5.05,16.83,41.0,Good
Thiruvananthapuram,2017-07-12,17.33,36.27,1.9,7.54,5.55,2.97,0.65,4.06,15.24,39.0,Good
Thiruvananthapuram,2017-07-13,17.62,47.88,1.97,5.82,4.69,2.97,0.63,2.88,15.47,48.0,Good
Thiruvananthapuram,2017-07-14,14.44,46.79,2.05,6.83,5.3,2.97,0.55,4.29,16.82,43.0,Good
Thiruvananthapuram,2017-07-15,19.42,60.83,2.08,6.97,5.4,2.97,0.58,3.28,16.23,59.0,Satisfactory
Thiruvananthapuram,2017-07-16,18.97,43.6,2.03,5.2,4.42,2.97,0.51,4.34,15.52,52.0,Satisfactory
Thiruvananthapuram,2017-07-17,19.72,52.15,1.98,6.07,4.83,2.97,0.46,3.32,14.89,48.0,Good
Thiruvananthapuram,2017-07-18,17.01,54.44,1.99,5.59,4.59,2.97,0.55,4.07,14.13,54.0,Satisfactory
Thiruvananthapuram,2017-07-19,14.38,38.51,1.97,4.62,4.04,2.97,0.47,3.6,14.04,47.0,Good
Thiruvananthapuram,2017-07-20,13.47,35.72,1.93,4.14,3.72,2.97,0.63,4.36,12.35,43.0,Good
Thiruvananthapuram,2017-07-21,7.42,22.98,1.99,4.14,3.79,2.97,0.49,3.33,14.18,37.0,Good
Thiruvananthapuram,2017-07-22,9.68,35.6,1.98,5.496666666666667,4.513333333333334,2.97,0.6,3.71,15.343333333333334,36.0,Good
Thiruvananthapuram,2017-07-23,11.94,48.22,1.97,6.8533333333333335,5.236666666666666,2.97,0.71,4.09,16.506666666666668,48.0,Good
Thiruvananthapuram,2017-07-24,14.2,60.84,1.96,8.21,5.96,2.97,0.82,4.47,17.67,61.0,Satisfactory
Thiruvananthapuram,2017-07-25,16.93,56.6,2.09,6.06,4.93,2.97,0.64,3.97,17.05,55.0,Satisfactory
