,City,Lat,Lon,AQI,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
0,Ahmedabad,23.03,72.59,312.91,73.52,-,33.41,48.33,41.24,-,27.52,46.92,37.68,Very Poor
1,Amaravati,20.93,77.75,81.19,34.18,68.4,3.95,19.17,13.19,12.25,0.59,14.46,36.85,Satisfactory
2,Amritsar,31.62,74.88,118.51,53.17,114.03,18.94,18.79,32.85,18.17,0.62,9.39,23.12,Moderate
3,Bengaluru,12.98,77.59,89.7,36.2,79.78,9.98,27.96,21.16,22.56,1.65,6.08,31.84,Satisfactory
4,Chennai,13.08,80.25,109.81,50.73,53.1,9.15,16.05,18.17,60.37,1.02,13.9,30.84,Moderate
5,Delhi,28.65,77.23,252.02,117.05,228.5,35.7,51.48,55.47,47.99,1.85,14.35,49.25,Poor
6,Gandhinagar,23.22,72.68,80.24,33.4,79.56,12.01,16.01,24.04,16.32,0.68,8.53,23.83,Satisfactory
7,Hyderabad,17.38,78.46,104.56,45.35,89.62,7.3,27.62,18.89,18.91,0.56,9.9,30.77,Moderate
8,Jaipur,26.91,75.79,124.91,52.97,117.25,13.29,32.89,41.68,31.95,0.86,11.18,46.43,Moderate
9,Jodhpur,26.27,73.01,176.09,82.07,175.46,28.18,29.3,37.52,-,1.0,8.79,38.78,Moderate
10,Kanpur,26.45,80.33,101.44,93.52,-,24.22,59.16,51.38,-,9.17,5.84,38.19,Moderate
11,Kolkata,22.56,88.36,124.02,57.96,107.12,24.62,37.45,59.21,18.85,0.82,9.18,33.84,Moderate
12,Lucknow,26.84,80.92,225.22,124.0,56.82,16.12,34.82,25.8,21.87,1.95,11.57,36.7,Poor
13,Mumbai,18.99,72.84,145.87,33.65,78.07,71.62,16.94,56.47,8.93,0.75,95.87,23.72,Moderate
14,Nagpur,21.15,79.09,87.71,60.63,59.47,16.29,32.76,30.31,25.28,0.93,17.69,34.56,Satisfactory
15,Patna,25.62,85.1,210.17,108.9,152.52,27.51,37.39,43.15,41.67,1.44,17.58,32.65,Poor
16,Pune,18.51,73.85,74.06,42.66,69.68,20.02,14.03,33.03,-,18.9,6.65,19.37,Satisfactory
17,Thiruvananthapuram,8.49,76.95,66.39,26.02,50.49,4.4,10.92,9.67,5.31,0.93,6.48,31.68,Satisfactory
18,Visakhapatnam,17.7,83.3,109.29,44.33,102.85,13.19,33.65,27.54,11.85,0.77,11.85,32.63,Moderate
